Tournament,Tournament ID,Stage,Stage ID,Match Type,Match Type ID,Year
Champions Tour Brazil Stage 2: Challengers Finals,366,Main Event,761.0,Upper Bracket Quarterfinals,4334.0,2021
Champions Tour Brazil Stage 2: Challengers Finals,366,Main Event,761.0,Upper Bracket Semifinals,4335.0,2021
Champions Tour Brazil Stage 3: Challengers 1,533,All Stages,,All Match Types,,2021
Champions Tour Brazil Stage 3: Challengers 1,533,Main Event,1039.0,Decider (A),5684.0,2021
Champions Tour Brazil Stage 3: Challengers 1,533,Main Event,1039.0,Decider (B),5688.0,2021
Champions Tour Brazil Stage 3: Challengers 1,533,Main Event,1039.0,Elimination (A),5683.0,2021
Champions Tour Brazil Stage 3: Challengers 1,533,Main Event,1039.0,Elimination (B),5687.0,2021
Champions Tour Brazil Stage 3: Challengers 1,533,Main Event,1039.0,Opening (A),5681.0,2021
Champions Tour Brazil Stage 3: Challengers 1,533,Main Event,1039.0,Opening (B),5685.0,2021
Champions Tour Brazil Stage 3: Challengers 1,533,Main Event,1039.0,Winner's (A),5682.0,2021
Champions Tour Brazil Stage 3: Challengers 1,533,Main Event,1039.0,Winner's (B),5686.0,2021
Champions Tour Brazil Stage 3: Challengers 1,533,Open Qualifier,1038.0,Round of 16,5625.0,2021
Champions Tour Brazil Stage 3: Challengers 1,533,Open Qualifier,1038.0,Round of 32,5624.0,2021
Champions Tour Brazil Stage 3: Challengers 2,534,All Stages,,All Match Types,,2021
Champions Tour Brazil Stage 3: Challengers 2,534,Main Event,1041.0,Decider (A),6091.0,2021
Champions Tour Brazil Stage 3: Challengers 2,534,Main Event,1041.0,Decider (B),6095.0,2021
Champions Tour Brazil Stage 3: Challengers 2,534,Main Event,1041.0,Elimination (A),6090.0,2021
Champions Tour Brazil Stage 3: Challengers 2,534,Main Event,1041.0,Elimination (B),6094.0,2021
Champions Tour Brazil Stage 3: Challengers 2,534,Main Event,1041.0,Opening (A),6088.0,2021
Champions Tour Brazil Stage 3: Challengers 2,534,Main Event,1041.0,Opening (B),6092.0,2021
Champions Tour Brazil Stage 3: Challengers 2,534,Main Event,1041.0,Winner's (A),6089.0,2021
Champions Tour Brazil Stage 3: Challengers 2,534,Main Event,1041.0,Winner's (B),6093.0,2021
Champions Tour Brazil Stage 3: Challengers 2,534,Open Qualifier,1040.0,Quarterfinals,5968.0,2021
Champions Tour Brazil Stage 3: Challengers 2,534,Open Qualifier,1040.0,Round of 16,5944.0,2021
Champions Tour Brazil Stage 3: Challengers 3,535,All Stages,,All Match Types,,2021
Champions Tour Brazil Stage 3: Challengers 3,535,Main Event,1043.0,Decider (A),6624.0,2021
Champions Tour Brazil Stage 3: Challengers 3,535,Main Event,1043.0,Decider (B),6628.0,2021
Champions Tour Brazil Stage 3: Challengers 3,535,Main Event,1043.0,Elimination (A),6623.0,2021
Champions Tour Brazil Stage 3: Challengers 3,535,Main Event,1043.0,Elimination (B),6627.0,2021
Champions Tour Brazil Stage 3: Challengers 3,535,Main Event,1043.0,Opening (A),6621.0,2021
Champions Tour Brazil Stage 3: Challengers 3,535,Main Event,1043.0,Opening (B),6625.0,2021
Champions Tour Brazil Stage 3: Challengers 3,535,Main Event,1043.0,Winner's (A),6622.0,2021
Champions Tour Brazil Stage 3: Challengers 3,535,Main Event,1043.0,Winner's (B),6626.0,2021
Champions Tour Brazil Stage 3: Challengers 3,535,Open Qualifier,1042.0,Quarterfinals,6616.0,2021
Champions Tour Brazil Stage 3: Challengers 3,535,Open Qualifier,1042.0,Round of 16,6607.0,2021
Champions Tour Brazil Stage 3: Challengers Playoffs,536,All Stages,,All Match Types,,2021
Champions Tour Brazil Stage 3: Challengers Playoffs,536,Main Event,1044.0,Grand Final,6795.0,2021
Champions Tour Brazil Stage 3: Challengers Playoffs,536,Main Event,1044.0,Lower Final,6799.0,2021
Champions Tour Brazil Stage 3: Challengers Playoffs,536,Main Event,1044.0,Lower Round 1,6796.0,2021
Champions Tour Brazil Stage 3: Challengers Playoffs,536,Main Event,1044.0,Lower Round 2,6797.0,2021
Champions Tour Brazil Stage 3: Challengers Playoffs,536,Main Event,1044.0,Lower Round 3,6798.0,2021
Champions Tour Brazil Stage 3: Challengers Playoffs,536,Main Event,1044.0,Upper Final,6794.0,2021
Champions Tour Brazil Stage 3: Challengers Playoffs,536,Main Event,1044.0,Upper Quarterfinals,6786.0,2021
Champions Tour Brazil Stage 3: Challengers Playoffs,536,Main Event,1044.0,Upper Semifinals,6793.0,2021
Champions Tour CIS Stage 1: Challengers 1,300,All Stages,,All Match Types,,2021
Champions Tour CIS Stage 1: Challengers 1,300,Main Event,630.0,Quarterfinals,2875.0,2021
Champions Tour CIS Stage 1: Challengers 1,300,Qualifier,629.0,Round of 128,2882.0,2021
Champions Tour CIS Stage 1: Challengers 1,300,Qualifier,629.0,Round of 64,2883.0,2021
Champions Tour CIS Stage 1: Challengers 1,300,Qualifier Playoffs,635.0,Round of 16,2885.0,2021
Champions Tour CIS Stage 1: Challengers 1,300,Qualifier Playoffs,635.0,Round of 32,2884.0,2021
Champions Tour CIS Stage 1: Challengers 2,330,All Stages,,All Match Types,,2021
Champions Tour CIS Stage 1: Challengers 2,330,Main Event,684.0,Final Round,3119.0,2021
Champions Tour CIS Stage 1: Challengers 2,330,Open Qualifier,682.0,Round of 16,3142.0,2021
Champions Tour CIS Stage 1: Challengers 2,330,Open Qualifier,682.0,Round of 32,3141.0,2021
Champions Tour CIS Stage 1: Challengers 2,330,Open Qualifier,682.0,Round of 64,3140.0,2021
Champions Tour CIS Stage 1: Challengers 2,330,Qualifier Play-in,683.0,Quarterfinals,3120.0,2021
Champions Tour CIS Stage 1: Challengers 3,343,All Stages,,All Match Types,,2021
Champions Tour CIS Stage 1: Challengers 3,343,Main Event,709.0,Quarterfinals,3288.0,2021
Champions Tour CIS Stage 1: Challengers 3,343,Qualifier,707.0,Round of 16,3247.0,2021
