Tournament,Tournament ID,Stage,Stage ID,Match Type,Match Type ID,Match Name,Match ID,Map,Game ID,Year
Champions Tour North America: Last Chance Qualifier,558,Main Event,1094,Upper Quarterfinals,7644,XSET vs Luminosity,43765,Split,53284,2021
Champions Tour North America: Last Chance Qualifier,558,Main Event,1094,Upper Semifinals,7645,100 Thieves vs XSET,43768,Split,53291,2021
Champions Tour North America: Last Chance Qualifier,558,Main Event,1094,Upper Semifinals,7645,100 Thieves vs XSET,43768,Breeze,53292,2021
Champions Tour North America: Last Chance Qualifier,558,Main Event,1094,Upper Semifinals,7645,100 Thieves vs XSET,43768,Ascent,53293,2021
Champions Tour North America: Last Chance Qualifier,558,Main Event,1094,Upper Quarterfinals,7644,FaZe Clan vs Rise,43766,Breeze,53285,2021
Champions Tour North America: Last Chance Qualifier,558,Main Event,1094,Upper Quarterfinals,7644,FaZe Clan vs Rise,43766,Ascent,53286,2021
Champions Tour North America: Last Chance Qualifier,558,Main Event,1094,Upper Quarterfinals,7644,FaZe Clan vs Rise,43766,Bind,53287,2021
Champions Tour North America: Last Chance Qualifier,558,Main Event,1094,Upper Quarterfinals,7644,Version1 vs Cloud9,43767,Breeze,53288,2021
Champions Tour North America: Last Chance Qualifier,558,Main Event,1094,Upper Quarterfinals,7644,Version1 vs Cloud9,43767,Icebox,53289,2021
Champions Tour North America: Last Chance Qualifier,558,Main Event,1094,Upper Semifinals,7645,Rise vs Cloud9,43769,Breeze,55526,2021
Champions Tour North America: Last Chance Qualifier,558,Main Event,1094,Upper Semifinals,7645,Rise vs Cloud9,43769,Ascent,53295,2021
Champions Tour North America: Last Chance Qualifier,558,Main Event,1094,Upper Semifinals,7645,Rise vs Cloud9,43769,Haven,53296,2021
Champions Tour North America: Last Chance Qualifier,558,Main Event,1094,Lower Round 1,7648,Gen.G vs Luminosity,43772,Haven,53305,2021
Champions Tour North America: Last Chance Qualifier,558,Main Event,1094,Lower Round 1,7648,Gen.G vs Luminosity,43772,Split,53306,2021
Champions Tour North America: Last Chance Qualifier,558,Main Event,1094,Lower Round 1,7648,FaZe Clan vs Version1,43773,Icebox,53308,2021
Champions Tour North America: Last Chance Qualifier,558,Main Event,1094,Lower Round 1,7648,FaZe Clan vs Version1,43773,Breeze,53309,2021
Champions Tour North America: Last Chance Qualifier,558,Main Event,1094,Lower Round 2,7649,Cloud9 vs Gen.G,43774,Ascent,53311,2021
Champions Tour North America: Last Chance Qualifier,558,Main Event,1094,Lower Round 2,7649,Cloud9 vs Gen.G,43774,Split,53312,2021
Champions Tour North America: Last Chance Qualifier,558,Main Event,1094,Lower Round 2,7649,Cloud9 vs Gen.G,43774,Breeze,53313,2021
Champions Tour North America: Last Chance Qualifier,558,Main Event,1094,Lower Round 2,7649,XSET vs Version1,43775,Bind,53314,2021
Champions Tour North America: Last Chance Qualifier,558,Main Event,1094,Lower Round 2,7649,XSET vs Version1,43775,Icebox,53315,2021
Champions Tour North America: Last Chance Qualifier,558,Main Event,1094,Upper Final,7646,100 Thieves vs Rise,43770,Breeze,53297,2021
Champions Tour North America: Last Chance Qualifier,558,Main Event,1094,Upper Final,7646,100 Thieves vs Rise,43770,Ascent,53298,2021
Champions Tour North America: Last Chance Qualifier,558,Main Event,1094,Upper Final,7646,100 Thieves vs Rise,43770,Haven,53299,2021
Champions Tour North America: Last Chance Qualifier,558,Main Event,1094,Lower Round 3,7650,Cloud9 vs XSET,43776,Bind,53317,2021
Champions Tour North America: Last Chance Qualifier,558,Main Event,1094,Lower Round 3,7650,Cloud9 vs XSET,43776,Ascent,53318,2021
Champions Tour North America: Last Chance Qualifier,558,Main Event,1094,Lower Final,7651,100 Thieves vs Cloud9,43777,Icebox,53320,2021
Champions Tour North America: Last Chance Qualifier,558,Main Event,1094,Lower Final,7651,100 Thieves vs Cloud9,43777,Haven,53322,2021
Champions Tour North America: Last Chance Qualifier,558,Main Event,1094,Lower Final,7651,100 Thieves vs Cloud9,43777,Breeze,53321,2021
Champions Tour North America: Last Chance Qualifier,558,Main Event,1094,Grand Final,7647,Rise vs Cloud9,43771,Breeze,53300,2021
Champions Tour North America: Last Chance Qualifier,558,Main Event,1094,Grand Final,7647,Rise vs Cloud9,43771,Split,53301,2021
Champions Tour North America: Last Chance Qualifier,558,Main Event,1094,Grand Final,7647,Rise vs Cloud9,43771,Bind,53302,2021
Champions Tour South America: Last Chance Qualifier,561,Group Stage,1097,Opening (A),7402,Sharks Esports vs E-Xolos LAZER,42173,Ascent,51875,2021
Champions Tour South America: Last Chance Qualifier,561,Group Stage,1097,Opening (A),7402,Sharks Esports vs E-Xolos LAZER,42173,Haven,51876,2021
Champions Tour South America: Last Chance Qualifier,561,Group Stage,1097,Opening (A),7402,Australs vs FURIA,42174,Split,51878,2021
Champions Tour South America: Last Chance Qualifier,561,Group Stage,1097,Opening (A),7402,Australs vs FURIA,42174,Haven,51879,2021
Champions Tour South America: Last Chance Qualifier,561,Group Stage,1097,Opening (A),7402,Australs vs FURIA,42174,Ascent,51880,2021
Champions Tour South America: Last Chance Qualifier,561,Group Stage,1097,Winner's (A),7403,Sharks Esports vs Australs,42175,Split,51881,2021
Champions Tour South America: Last Chance Qualifier,561,Group Stage,1097,Winner's (A),7403,Sharks Esports vs Australs,42175,Ascent,51882,2021
Champions Tour South America: Last Chance Qualifier,561,Group Stage,1097,Winner's (A),7403,Sharks Esports vs Australs,42175,Icebox,51883,2021
Champions Tour South America: Last Chance Qualifier,561,Group Stage,1097,Opening (B),7406,Six Karma vs Gamelanders Blue,42178,Split,51890,2021
Champions Tour South America: Last Chance Qualifier,561,Group Stage,1097,Opening (B),7406,Six Karma vs Gamelanders Blue,42178,Ascent,51891,2021
Champions Tour South America: Last Chance Qualifier,561,Group Stage,1097,Opening (B),7406,Six Karma vs Gamelanders Blue,42178,Breeze,51892,2021
Champions Tour South America: Last Chance Qualifier,561,Group Stage,1097,Opening (B),7406,Liberty vs INFINITY,42179,Bind,51893,2021
Champions Tour South America: Last Chance Qualifier,561,Group Stage,1097,Opening (B),7406,Liberty vs INFINITY,42179,Icebox,51894,2021
Champions Tour South America: Last Chance Qualifier,561,Group Stage,1097,Winner's (B),7407,Gamelanders Blue vs Liberty,42180,Bind,51896,2021
Champions Tour South America: Last Chance Qualifier,561,Group Stage,1097,Winner's (B),7407,Gamelanders Blue vs Liberty,42180,Icebox,51897,2021
Champions Tour South America: Last Chance Qualifier,561,Group Stage,1097,Elimination (A),7404,E-Xolos LAZER vs FURIA,42176,Haven,51884,2021
Champions Tour South America: Last Chance Qualifier,561,Group Stage,1097,Elimination (A),7404,E-Xolos LAZER vs FURIA,42176,Icebox,51885,2021
Champions Tour South America: Last Chance Qualifier,561,Group Stage,1097,Elimination (B),7408,Six Karma vs INFINITY,42181,Bind,51899,2021
Champions Tour South America: Last Chance Qualifier,561,Group Stage,1097,Elimination (B),7408,Six Karma vs INFINITY,42181,Breeze,51900,2021
Champions Tour South America: Last Chance Qualifier,561,Group Stage,1097,Elimination (B),7408,Six Karma vs INFINITY,42181,Split,51901,2021
Champions Tour South America: Last Chance Qualifier,561,Group Stage,1097,Decider (A),7405,Sharks Esports vs FURIA,42177,Haven,51887,2021
Champions Tour South America: Last Chance Qualifier,561,Group Stage,1097,Decider (A),7405,Sharks Esports vs FURIA,42177,Ascent,51888,2021
Champions Tour South America: Last Chance Qualifier,561,Group Stage,1097,Decider (B),7409,Liberty vs Six Karma,42182,Bind,51902,2021
Champions Tour South America: Last Chance Qualifier,561,Group Stage,1097,Decider (B),7409,Liberty vs Six Karma,42182,Split,51903,2021
Champions Tour South America: Last Chance Qualifier,561,Group Stage,1097,Decider (B),7409,Liberty vs Six Karma,42182,Ascent,51904,2021
Champions Tour South America: Last Chance Qualifier,561,Playoffs,1376,Semifinals,7607,Australs vs Liberty,42185,Split,51905,2021
Champions Tour South America: Last Chance Qualifier,561,Playoffs,1376,Semifinals,7607,Australs vs Liberty,42185,Icebox,51906,2021
Champions Tour South America: Last Chance Qualifier,561,Playoffs,1376,Semifinals,7607,Gamelanders Blue vs FURIA,42186,Icebox,51908,2021
Champions Tour South America: Last Chance Qualifier,561,Playoffs,1376,Semifinals,7607,Gamelanders Blue vs FURIA,42186,Ascent,51909,2021
Champions Tour South America: Last Chance Qualifier,561,Playoffs,1376,Semifinals,7607,Gamelanders Blue vs FURIA,42186,Split,51910,2021
Champions Tour South America: Last Chance Qualifier,561,Playoffs,1376,Grand Final,7608,Australs vs FURIA,42187,Icebox,51911,2021
Champions Tour South America: Last Chance Qualifier,561,Playoffs,1376,Grand Final,7608,Australs vs FURIA,42187,Ascent,51912,2021
Champions Tour South America: Last Chance Qualifier,561,Playoffs,1376,Grand Final,7608,Australs vs FURIA,42187,Split,51913,2021
Champions Tour EMEA: Last Chance Qualifier,559,Main Event,1095,Upper Quarterfinals,7412,G2 Esports vs Anubis Gaming,42198,Bind,51920,2021
Champions Tour EMEA: Last Chance Qualifier,559,Main Event,1095,Upper Quarterfinals,7412,G2 Esports vs Anubis Gaming,42198,Breeze,51921,2021
Champions Tour EMEA: Last Chance Qualifier,559,Main Event,1095,Upper Quarterfinals,7412,FUT Esports vs Oxygen Esports,42199,Split,51923,2021
Champions Tour EMEA: Last Chance Qualifier,559,Main Event,1095,Upper Quarterfinals,7412,FUT Esports vs Oxygen Esports,42199,Ascent,51924,2021
Champions Tour EMEA: Last Chance Qualifier,559,Main Event,1095,Upper Quarterfinals,7412,Papara SuperMassive vs Guild Esports,42200,Breeze,51926,2021
Champions Tour EMEA: Last Chance Qualifier,559,Main Event,1095,Upper Quarterfinals,7412,Papara SuperMassive vs Guild Esports,42200,Icebox,51927,2021
Champions Tour EMEA: Last Chance Qualifier,559,Main Event,1095,Upper Quarterfinals,7412,Papara SuperMassive vs Guild Esports,42200,Split,51928,2021
Champions Tour EMEA: Last Chance Qualifier,559,Main Event,1095,Upper Quarterfinals,7412,Team Liquid vs One Breath Gaming,42201,Ascent,51929,2021
Champions Tour EMEA: Last Chance Qualifier,559,Main Event,1095,Upper Quarterfinals,7412,Team Liquid vs One Breath Gaming,42201,Haven,51930,2021
Champions Tour EMEA: Last Chance Qualifier,559,Main Event,1095,Lower Round 1,7416,Anubis Gaming vs Oxygen Esports,42206,Split,51944,2021
Champions Tour EMEA: Last Chance Qualifier,559,Main Event,1095,Lower Round 1,7416,Anubis Gaming vs Oxygen Esports,42206,Ascent,51945,2021
Champions Tour EMEA: Last Chance Qualifier,559,Main Event,1095,Lower Round 1,7416,Papara SuperMassive vs One Breath Gaming,42207,Breeze,51947,2021
Champions Tour EMEA: Last Chance Qualifier,559,Main Event,1095,Lower Round 1,7416,Papara SuperMassive vs One Breath Gaming,42207,Split,51948,2021
Champions Tour EMEA: Last Chance Qualifier,559,Main Event,1095,Lower Round 1,7416,Papara SuperMassive vs One Breath Gaming,42207,Haven,51949,2021
Champions Tour EMEA: Last Chance Qualifier,559,Main Event,1095,Upper Semifinals,7413,G2 Esports vs FUT Esports,42202,Icebox,51934,2021
