Tournament,Stage,Match Type,Map,Total Maps Played,Attacker Side Win Percentage,Defender Side Win Percentage
Valorant Champions 2023,Group Stage,Elimination (A),Lotus,1,65%,35%
Valorant Champions 2023,Group Stage,Elimination (A),Pearl,1,42%,58%
Valorant Champions 2023,Group Stage,Decider (A),All Maps,2,54%,46%
Valorant Champions 2023,Group Stage,Decider (A),Split,1,63%,37%
Valorant Champions 2023,Group Stage,Decider (A),Fracture,1,45%,55%
Valorant Champions 2023,Group Stage,Opening (B),All Maps,4,48%,52%
Valorant Champions 2023,Group Stage,Opening (B),Pearl,2,37%,63%
Valorant Champions 2023,Group Stage,Opening (B),Ascent,1,62%,38%
Valorant Champions 2023,Group Stage,Opening (B),Haven,1,55%,45%
Valorant Champions 2023,Group Stage,Winner's (B),All Maps,2,41%,59%
Valorant Champions 2023,Group Stage,Winner's (B),Bind,1,59%,41%
Valorant Champions 2023,Group Stage,Winner's (B),Pearl,1,25%,75%
Valorant Champions 2023,Group Stage,Elimination (B),All Maps,2,65%,35%
Valorant Champions 2023,Group Stage,Elimination (B),Lotus,1,65%,35%
Valorant Champions 2023,Group Stage,Elimination (B),Bind,1,65%,35%
Valorant Champions 2023,Group Stage,Decider (B),All Maps,2,40%,60%
Valorant Champions 2023,Group Stage,Decider (B),Bind,1,22%,78%
Valorant Champions 2023,Group Stage,Decider (B),Pearl,1,58%,42%
Valorant Champions 2023,Group Stage,Opening (C),All Maps,4,49%,51%
Valorant Champions 2023,Group Stage,Opening (C),Fracture,1,50%,50%
Valorant Champions 2023,Group Stage,Opening (C),Haven,1,42%,58%
Valorant Champions 2023,Group Stage,Opening (C),Lotus,1,58%,42%
Valorant Champions 2023,Group Stage,Opening (C),Split,1,43%,57%
Valorant Champions 2023,Group Stage,Winner's (C),All Maps,2,67%,33%
Valorant Champions 2023,Group Stage,Winner's (C),Lotus,1,67%,33%
Valorant Champions 2023,Group Stage,Winner's (C),Haven,1,67%,33%
Valorant Champions 2023,Group Stage,Elimination (C),All Maps,2,55%,45%
Valorant Champions 2023,Group Stage,Elimination (C),Bind,1,42%,58%
Valorant Champions 2023,Group Stage,Elimination (C),Haven,1,79%,21%
Valorant Champions 2023,Group Stage,Decider (C),All Maps,2,59%,41%
Valorant Champions 2023,Group Stage,Decider (C),Ascent,1,50%,50%
Valorant Champions 2023,Group Stage,Decider (C),Bind,1,65%,35%
Valorant Champions 2023,Group Stage,Opening (D),All Maps,5,53%,47%
Valorant Champions 2023,Group Stage,Opening (D),Ascent,1,43%,57%
Valorant Champions 2023,Group Stage,Opening (D),Bind,1,58%,42%
Valorant Champions 2023,Group Stage,Opening (D),Fracture,1,54%,46%
Valorant Champions 2023,Group Stage,Opening (D),Lotus,1,58%,42%
Valorant Champions 2023,Group Stage,Opening (D),Split,1,47%,53%
Valorant Champions 2023,Group Stage,Winner's (D),All Maps,3,47%,53%
Valorant Champions 2023,Group Stage,Winner's (D),Lotus,1,50%,50%
Valorant Champions 2023,Group Stage,Winner's (D),Bind,1,33%,67%
Valorant Champions 2023,Group Stage,Winner's (D),Split,1,59%,41%
Valorant Champions 2023,Group Stage,Elimination (D),All Maps,2,36%,64%
Valorant Champions 2023,Group Stage,Elimination (D),Split,1,38%,62%
Valorant Champions 2023,Group Stage,Elimination (D),Haven,1,33%,67%
Valorant Champions 2023,Group Stage,Decider (D),All Maps,3,46%,54%
Valorant Champions 2023,Group Stage,Decider (D),Ascent,1,46%,54%
Valorant Champions 2023,Group Stage,Decider (D),Bind,1,54%,46%
Valorant Champions 2023,Group Stage,Decider (D),Pearl,1,38%,63%
Valorant Champions 2023,All Stages,All Match Types,All Maps,84,51%,49%
Valorant Champions 2023,All Stages,All Match Types,Split,15,57%,43%
Valorant Champions 2023,All Stages,All Match Types,Bind,15,47%,53%
Valorant Champions 2023,All Stages,All Match Types,Ascent,13,51%,49%
Valorant Champions 2023,All Stages,All Match Types,Pearl,13,50%,50%
Valorant Champions 2023,All Stages,All Match Types,Lotus,12,55%,45%
Valorant Champions 2023,All Stages,All Match Types,Haven,11,50%,50%
Valorant Champions 2023,All Stages,All Match Types,Fracture,5,49%,51%
Champions Tour 2023: Champions China Qualifier,Playoffs,Upper Quarterfinals,All Maps,9,60%,40%
Champions Tour 2023: Champions China Qualifier,Playoffs,Upper Quarterfinals,Bind,3,69%,31%
Champions Tour 2023: Champions China Qualifier,Playoffs,Upper Quarterfinals,Fracture,2,51%,49%
Champions Tour 2023: Champions China Qualifier,Playoffs,Upper Quarterfinals,Lotus,2,70%,30%
Champions Tour 2023: Champions China Qualifier,Playoffs,Upper Quarterfinals,Haven,1,35%,65%
Champions Tour 2023: Champions China Qualifier,Playoffs,Upper Quarterfinals,Split,1,50%,50%
Champions Tour 2023: Champions China Qualifier,Playoffs,Upper Semifinals,All Maps,6,48%,52%
Champions Tour 2023: Champions China Qualifier,Playoffs,Upper Semifinals,Split,2,56%,44%
Champions Tour 2023: Champions China Qualifier,Playoffs,Upper Semifinals,Haven,2,47%,53%
Champions Tour 2023: Champions China Qualifier,Playoffs,Upper Semifinals,Bind,1,67%,33%
Champions Tour 2023: Champions China Qualifier,Playoffs,Upper Semifinals,Lotus,1,17%,83%
Champions Tour 2023: Champions China Qualifier,Playoffs,Upper Final,All Maps,3,50%,50%
Champions Tour 2023: Champions China Qualifier,Playoffs,Upper Final,Bind,1,43%,57%
Champions Tour 2023: Champions China Qualifier,Playoffs,Upper Final,Pearl,1,56%,44%
Champions Tour 2023: Champions China Qualifier,Playoffs,Upper Final,Split,1,53%,47%
Champions Tour 2023: Champions China Qualifier,Playoffs,Grand Final,All Maps,4,48%,52%
Champions Tour 2023: Champions China Qualifier,Playoffs,Grand Final,Bind,1,67%,33%
Champions Tour 2023: Champions China Qualifier,Playoffs,Grand Final,Fracture,1,53%,47%
Champions Tour 2023: Champions China Qualifier,Playoffs,Grand Final,Haven,1,33%,67%
Champions Tour 2023: Champions China Qualifier,Playoffs,Grand Final,Split,1,37%,63%
Champions Tour 2023: Champions China Qualifier,Playoffs,Lower Round 1,All Maps,4,50%,50%
Champions Tour 2023: Champions China Qualifier,Playoffs,Lower Round 1,Ascent,1,68%,32%
Champions Tour 2023: Champions China Qualifier,Playoffs,Lower Round 1,Fracture,1,50%,50%
Champions Tour 2023: Champions China Qualifier,Playoffs,Lower Round 1,Lotus,1,39%,61%
Champions Tour 2023: Champions China Qualifier,Playoffs,Lower Round 1,Split,1,39%,61%
Champions Tour 2023: Champions China Qualifier,Playoffs,Lower Round 2,All Maps,6,46%,54%
Champions Tour 2023: Champions China Qualifier,Playoffs,Lower Round 2,Split,2,43%,57%
Champions Tour 2023: Champions China Qualifier,Playoffs,Lower Round 2,Ascent,2,44%,56%
Champions Tour 2023: Champions China Qualifier,Playoffs,Lower Round 2,Fracture,1,52%,48%
Champions Tour 2023: Champions China Qualifier,Playoffs,Lower Round 2,Lotus,1,50%,50%
Champions Tour 2023: Champions China Qualifier,Playoffs,Lower Round 3,All Maps,4,52%,48%
Champions Tour 2023: Champions China Qualifier,Playoffs,Lower Round 3,Ascent,1,63%,38%
Champions Tour 2023: Champions China Qualifier,Playoffs,Lower Round 3,Bind,1,45%,55%
Champions Tour 2023: Champions China Qualifier,Playoffs,Lower Round 3,Fracture,1,43%,57%
Champions Tour 2023: Champions China Qualifier,Playoffs,Lower Round 3,Pearl,1,57%,43%
Champions Tour 2023: Champions China Qualifier,Playoffs,Lower Final,All Maps,5,47%,53%
Champions Tour 2023: Champions China Qualifier,Playoffs,Lower Final,Ascent,1,28%,72%
Champions Tour 2023: Champions China Qualifier,Playoffs,Lower Final,Bind,1,41%,59%
Champions Tour 2023: Champions China Qualifier,Playoffs,Lower Final,Lotus,1,63%,38%
Champions Tour 2023: Champions China Qualifier,Playoffs,Lower Final,Pearl,1,59%,41%
Champions Tour 2023: Champions China Qualifier,Playoffs,Lower Final,Split,1,37%,63%
Champions Tour 2023: Champions China Qualifier,Playoffs,Knockout Round,All Maps,10,49%,51%
Champions Tour 2023: Champions China Qualifier,Playoffs,Knockout Round,Haven,3,64%,36%
Champions Tour 2023: Champions China Qualifier,Playoffs,Knockout Round,Bind,2,48%,52%
Champions Tour 2023: Champions China Qualifier,Playoffs,Knockout Round,Lotus,2,37%,63%
Champions Tour 2023: Champions China Qualifier,Playoffs,Knockout Round,Split,2,42%,58%
Champions Tour 2023: Champions China Qualifier,Playoffs,Knockout Round,Pearl,1,41%,59%
Champions Tour 2023: Champions China Qualifier,Preliminary Stage,Round 1,All Maps,20,55%,45%
Champions Tour 2023: Champions China Qualifier,Preliminary Stage,Round 1,Split,5,68%,32%
Champions Tour 2023: Champions China Qualifier,Preliminary Stage,Round 1,Lotus,5,56%,44%
Champions Tour 2023: Champions China Qualifier,Preliminary Stage,Round 1,Ascent,3,52%,48%
Champions Tour 2023: Champions China Qualifier,Preliminary Stage,Round 1,Bind,2,44%,56%
Champions Tour 2023: Champions China Qualifier,Preliminary Stage,Round 1,Fracture,2,70%,30%
Champions Tour 2023: Champions China Qualifier,Preliminary Stage,Round 1,Haven,2,39%,61%
Champions Tour 2023: Champions China Qualifier,Preliminary Stage,Round 1,Pearl,1,25%,75%
Champions Tour 2023: Champions China Qualifier,Preliminary Stage,Round 2,All Maps,18,50%,50%
Champions Tour 2023: Champions China Qualifier,Preliminary Stage,Round 2,Split,4,49%,51%
Champions Tour 2023: Champions China Qualifier,Preliminary Stage,Round 2,Lotus,4,51%,49%
Champions Tour 2023: Champions China Qualifier,Preliminary Stage,Round 2,Ascent,3,37%,63%
Champions Tour 2023: Champions China Qualifier,Preliminary Stage,Round 2,Bind,3,62%,38%
Champions Tour 2023: Champions China Qualifier,Preliminary Stage,Round 2,Haven,3,61%,39%
Champions Tour 2023: Champions China Qualifier,Preliminary Stage,Round 2,Fracture,1,25%,75%
Champions Tour 2023: Champions China Qualifier,Preliminary Stage,Round 3,All Maps,18,49%,51%
Champions Tour 2023: Champions China Qualifier,Preliminary Stage,Round 3,Bind,5,50%,50%
Champions Tour 2023: Champions China Qualifier,Preliminary Stage,Round 3,Ascent,3,43%,57%
Champions Tour 2023: Champions China Qualifier,Preliminary Stage,Round 3,Lotus,3,56%,44%
Champions Tour 2023: Champions China Qualifier,Preliminary Stage,Round 3,Pearl,3,38%,63%
Champions Tour 2023: Champions China Qualifier,Preliminary Stage,Round 3,Split,2,46%,54%
Champions Tour 2023: Champions China Qualifier,Preliminary Stage,Round 3,Fracture,1,70%,30%
Champions Tour 2023: Champions China Qualifier,Preliminary Stage,Round 3,Haven,1,63%,38%
Champions Tour 2023: Champions China Qualifier,Preliminary Stage,Round 4,All Maps,15,56%,44%
Champions Tour 2023: Champions China Qualifier,Preliminary Stage,Round 4,Lotus,4,62%,38%
Champions Tour 2023: Champions China Qualifier,Preliminary Stage,Round 4,Bind,3,69%,31%
Champions Tour 2023: Champions China Qualifier,Preliminary Stage,Round 4,Split,3,46%,54%
Champions Tour 2023: Champions China Qualifier,Preliminary Stage,Round 4,Ascent,2,61%,39%
Champions Tour 2023: Champions China Qualifier,Preliminary Stage,Round 4,Pearl,2,47%,53%
Champions Tour 2023: Champions China Qualifier,Preliminary Stage,Round 4,Haven,1,28%,72%
Champions Tour 2023: Champions China Qualifier,Preliminary Stage,Round 5,All Maps,8,56%,44%
Champions Tour 2023: Champions China Qualifier,Preliminary Stage,Round 5,Haven,3,62%,38%
Champions Tour 2023: Champions China Qualifier,Preliminary Stage,Round 5,Ascent,2,58%,42%
Champions Tour 2023: Champions China Qualifier,Preliminary Stage,Round 5,Bind,1,38%,63%
Champions Tour 2023: Champions China Qualifier,Preliminary Stage,Round 5,Lotus,1,61%,39%
Champions Tour 2023: Champions China Qualifier,Preliminary Stage,Round 5,Split,1,52%,48%
Champions Tour 2023: Champions China Qualifier,All Stages,All Match Types,All Maps,130,52%,48%
Champions Tour 2023: Champions China Qualifier,All Stages,All Match Types,Split,26,51%,49%
Champions Tour 2023: Champions China Qualifier,All Stages,All Match Types,Lotus,25,54%,46%
Champions Tour 2023: Champions China Qualifier,All Stages,All Match Types,Bind,24,55%,45%
Champions Tour 2023: Champions China Qualifier,All Stages,All Match Types,Ascent,18,49%,51%
Champions Tour 2023: Champions China Qualifier,All Stages,All Match Types,Haven,17,52%,48%
Champions Tour 2023: Champions China Qualifier,All Stages,All Match Types,Fracture,10,52%,48%
Champions Tour 2023: Champions China Qualifier,All Stages,All Match Types,Pearl,10,44%,56%
Champions Tour 2023: Pacific League,Playoffs,Upper Round 1,All Maps,3,48%,52%
Champions Tour 2023: Pacific League,Playoffs,Upper Round 1,Ascent,1,29%,71%
Champions Tour 2023: Pacific League,Playoffs,Upper Round 1,Fracture,1,52%,48%
Champions Tour 2023: Pacific League,Playoffs,Upper Round 1,Lotus,1,65%,35%
Champions Tour 2023: Pacific League,Playoffs,Upper Semifinals,All Maps,5,49%,51%
Champions Tour 2023: Pacific League,Playoffs,Upper Semifinals,Bind,1,29%,71%
Champions Tour 2023: Pacific League,Playoffs,Upper Semifinals,Fracture,1,39%,61%
Champions Tour 2023: Pacific League,Playoffs,Upper Semifinals,Haven,1,59%,41%
Champions Tour 2023: Pacific League,Playoffs,Upper Semifinals,Lotus,1,43%,57%
Champions Tour 2023: Pacific League,Playoffs,Upper Semifinals,Split,1,72%,28%
Champions Tour 2023: Pacific League,Playoffs,Upper Final,All Maps,2,57%,43%
Champions Tour 2023: Pacific League,Playoffs,Upper Final,Bind,1,53%,47%
Champions Tour 2023: Pacific League,Playoffs,Upper Final,Fracture,1,61%,39%
Champions Tour 2023: Pacific League,Playoffs,Lower Round 1,All Maps,6,57%,43%
Champions Tour 2023: Pacific League,Playoffs,Lower Round 1,Haven,2,57%,43%
Champions Tour 2023: Pacific League,Playoffs,Lower Round 1,Ascent,1,62%,38%
Champions Tour 2023: Pacific League,Playoffs,Lower Round 1,Bind,1,58%,42%
Champions Tour 2023: Pacific League,Playoffs,Lower Round 1,Fracture,1,65%,35%
Champions Tour 2023: Pacific League,Playoffs,Lower Round 1,Split,1,42%,58%
Champions Tour 2023: Pacific League,Playoffs,Lower Round 2,All Maps,2,57%,43%
Champions Tour 2023: Pacific League,Playoffs,Lower Round 2,Ascent,1,48%,52%
Champions Tour 2023: Pacific League,Playoffs,Lower Round 2,Fracture,1,65%,35%
Champions Tour 2023: Pacific League,Playoffs,Lower Final,All Maps,5,58%,42%
Champions Tour 2023: Pacific League,Playoffs,Lower Final,Ascent,1,79%,21%
Champions Tour 2023: Pacific League,Playoffs,Lower Final,Bind,1,47%,53%
Champions Tour 2023: Pacific League,Playoffs,Lower Final,Fracture,1,29%,71%
Champions Tour 2023: Pacific League,Playoffs,Lower Final,Haven,1,71%,29%
Champions Tour 2023: Pacific League,Playoffs,Lower Final,Pearl,1,59%,41%
Champions Tour 2023: Pacific League,Playoffs,Grand Final,All Maps,5,51%,49%
Champions Tour 2023: Pacific League,Playoffs,Grand Final,Ascent,1,50%,50%
Champions Tour 2023: Pacific League,Playoffs,Grand Final,Bind,1,37%,63%
Champions Tour 2023: Pacific League,Playoffs,Grand Final,Fracture,1,63%,37%
Champions Tour 2023: Pacific League,Playoffs,Grand Final,Lotus,1,44%,56%
Champions Tour 2023: Pacific League,Playoffs,Grand Final,Pearl,1,57%,43%
Champions Tour 2023: Pacific League,League Play,Week 1,All Maps,12,53%,47%
Champions Tour 2023: Pacific League,League Play,Week 1,Lotus,3,51%,49%
Champions Tour 2023: Pacific League,League Play,Week 1,Pearl,3,51%,49%
Champions Tour 2023: Pacific League,League Play,Week 1,Ascent,2,50%,50%
Champions Tour 2023: Pacific League,League Play,Week 1,Fracture,2,63%,37%
Champions Tour 2023: Pacific League,League Play,Week 1,Haven,1,71%,29%
Champions Tour 2023: Pacific League,League Play,Week 1,Icebox,1,33%,67%
Champions Tour 2023: Pacific League,League Play,Week 2,All Maps,13,48%,52%
Champions Tour 2023: Pacific League,League Play,Week 2,Haven,4,46%,54%
Champions Tour 2023: Pacific League,League Play,Week 2,Ascent,2,50%,50%
Champions Tour 2023: Pacific League,League Play,Week 2,Fracture,2,41%,59%
Champions Tour 2023: Pacific League,League Play,Week 2,Lotus,2,33%,67%
Champions Tour 2023: Pacific League,League Play,Week 2,Split,2,57%,43%
Champions Tour 2023: Pacific League,League Play,Week 2,Pearl,1,71%,29%
Champions Tour 2023: Pacific League,League Play,Week 3,All Maps,11,42%,58%
Champions Tour 2023: Pacific League,League Play,Week 3,Pearl,4,47%,53%
Champions Tour 2023: Pacific League,League Play,Week 3,Haven,3,41%,59%
Champions Tour 2023: Pacific League,League Play,Week 3,Fracture,2,44%,56%
Champions Tour 2023: Pacific League,League Play,Week 3,Ascent,1,42%,58%
Champions Tour 2023: Pacific League,League Play,Week 3,Split,1,19%,81%
Champions Tour 2023: Pacific League,League Play,Week 4,All Maps,10,54%,46%
Champions Tour 2023: Pacific League,League Play,Week 4,Split,3,53%,47%
Champions Tour 2023: Pacific League,League Play,Week 4,Ascent,3,60%,40%
Champions Tour 2023: Pacific League,League Play,Week 4,Haven,2,50%,50%
Champions Tour 2023: Pacific League,League Play,Week 4,Icebox,2,51%,49%
Champions Tour 2023: Pacific League,League Play,Week 5,All Maps,12,52%,48%
Champions Tour 2023: Pacific League,League Play,Week 5,Haven,4,52%,48%
Champions Tour 2023: Pacific League,League Play,Week 5,Ascent,2,48%,52%
Champions Tour 2023: Pacific League,League Play,Week 5,Fracture,2,50%,50%
Champions Tour 2023: Pacific League,League Play,Week 5,Pearl,2,49%,51%
Champions Tour 2023: Pacific League,League Play,Week 5,Icebox,1,65%,35%
Champions Tour 2023: Pacific League,League Play,Week 5,Split,1,63%,37%
Champions Tour 2023: Pacific League,League Play,Week 6,All Maps,14,54%,46%
Champions Tour 2023: Pacific League,League Play,Week 6,Split,4,52%,48%
Champions Tour 2023: Pacific League,League Play,Week 6,Lotus,3,52%,48%
Champions Tour 2023: Pacific League,League Play,Week 6,Fracture,3,50%,50%
Champions Tour 2023: Pacific League,League Play,Week 6,Pearl,3,70%,30%
Champions Tour 2023: Pacific League,League Play,Week 6,Haven,1,38%,62%
Champions Tour 2023: Pacific League,League Play,Week 7,All Maps,10,50%,50%
Champions Tour 2023: Pacific League,League Play,Week 7,Fracture,3,45%,55%
Champions Tour 2023: Pacific League,League Play,Week 7,Ascent,2,60%,40%
Champions Tour 2023: Pacific League,League Play,Week 7,Lotus,2,43%,57%
Champions Tour 2023: Pacific League,League Play,Week 7,Bind,1,48%,52%
Champions Tour 2023: Pacific League,League Play,Week 7,Pearl,1,63%,38%
Champions Tour 2023: Pacific League,League Play,Week 7,Split,1,42%,58%
Champions Tour 2023: Pacific League,League Play,Week 8,All Maps,23,54%,46%
Champions Tour 2023: Pacific League,League Play,Week 8,Ascent,4,67%,33%
Champions Tour 2023: Pacific League,League Play,Week 8,Bind,4,59%,41%
Champions Tour 2023: Pacific League,League Play,Week 8,Haven,4,51%,49%
Champions Tour 2023: Pacific League,League Play,Week 8,Lotus,4,44%,56%
Champions Tour 2023: Pacific League,League Play,Week 8,Pearl,3,49%,51%
Champions Tour 2023: Pacific League,League Play,Week 8,Fracture,2,54%,46%
Champions Tour 2023: Pacific League,League Play,Week 8,Split,2,61%,39%
Champions Tour 2023: Pacific League,All Stages,All Match Types,All Maps,133,52%,48%
Champions Tour 2023: Pacific League,All Stages,All Match Types,Fracture,23,50%,50%
Champions Tour 2023: Pacific League,All Stages,All Match Types,Haven,23,51%,49%
Champions Tour 2023: Pacific League,All Stages,All Match Types,Ascent,21,55%,45%
Champions Tour 2023: Pacific League,All Stages,All Match Types,Pearl,19,55%,45%
Champions Tour 2023: Pacific League,All Stages,All Match Types,Lotus,17,47%,53%
Champions Tour 2023: Pacific League,All Stages,All Match Types,Split,16,53%,47%
Champions Tour 2023: Pacific League,All Stages,All Match Types,Bind,10,51%,49%
Champions Tour 2023: Pacific League,All Stages,All Match Types,Icebox,4,50%,50%
Champions Tour 2023: EMEA League,Playoffs,Upper Round 1,All Maps,5,37%,63%
Champions Tour 2023: EMEA League,Playoffs,Upper Round 1,Ascent,2,35%,65%
Champions Tour 2023: EMEA League,Playoffs,Upper Round 1,Bind,1,38%,63%
Champions Tour 2023: EMEA League,Playoffs,Upper Round 1,Haven,1,39%,61%
Champions Tour 2023: EMEA League,Playoffs,Upper Round 1,Lotus,1,37%,63%
Champions Tour 2023: EMEA League,Playoffs,Upper Semifinals,All Maps,5,58%,42%
Champions Tour 2023: EMEA League,Playoffs,Upper Semifinals,Split,2,58%,42%
Champions Tour 2023: EMEA League,Playoffs,Upper Semifinals,Bind,2,52%,48%
Champions Tour 2023: EMEA League,Playoffs,Upper Semifinals,Lotus,1,79%,21%
Champions Tour 2023: EMEA League,Playoffs,Upper Final,All Maps,2,63%,37%
Champions Tour 2023: EMEA League,Playoffs,Upper Final,Lotus,1,58%,42%
Champions Tour 2023: EMEA League,Playoffs,Upper Final,Bind,1,68%,32%
Champions Tour 2023: EMEA League,Playoffs,Grand Final,All Maps,4,45%,55%
Champions Tour 2023: EMEA League,Playoffs,Grand Final,Ascent,1,33%,67%
Champions Tour 2023: EMEA League,Playoffs,Grand Final,Fracture,1,38%,63%
Champions Tour 2023: EMEA League,Playoffs,Grand Final,Haven,1,47%,53%
Champions Tour 2023: EMEA League,Playoffs,Grand Final,Lotus,1,63%,38%
Champions Tour 2023: EMEA League,Playoffs,Lower Round 1,All Maps,5,51%,49%
Champions Tour 2023: EMEA League,Playoffs,Lower Round 1,Ascent,1,41%,59%
Champions Tour 2023: EMEA League,Playoffs,Lower Round 1,Haven,1,59%,41%
Champions Tour 2023: EMEA League,Playoffs,Lower Round 1,Lotus,1,37%,63%
Champions Tour 2023: EMEA League,Playoffs,Lower Round 1,Pearl,1,41%,59%
Champions Tour 2023: EMEA League,Playoffs,Lower Round 1,Split,1,77%,23%
Champions Tour 2023: EMEA League,Playoffs,Lower Round 2,All Maps,2,66%,34%
Champions Tour 2023: EMEA League,Playoffs,Lower Round 2,Lotus,1,76%,24%
Champions Tour 2023: EMEA League,Playoffs,Lower Round 2,Fracture,1,55%,45%
Champions Tour 2023: EMEA League,Playoffs,Lower Final,All Maps,3,63%,37%
Champions Tour 2023: EMEA League,Playoffs,Lower Final,Lotus,1,83%,17%
Champions Tour 2023: EMEA League,Playoffs,Lower Final,Ascent,1,61%,39%
Champions Tour 2023: EMEA League,Playoffs,Lower Final,Split,1,39%,61%
Champions Tour 2023: EMEA League,Regular Season,Week 1,All Maps,24,48%,52%
Champions Tour 2023: EMEA League,Regular Season,Week 1,Split,7,52%,48%
Champions Tour 2023: EMEA League,Regular Season,Week 1,Lotus,4,47%,53%
Champions Tour 2023: EMEA League,Regular Season,Week 1,Icebox,4,49%,51%
Champions Tour 2023: EMEA League,Regular Season,Week 1,Ascent,3,47%,53%
Champions Tour 2023: EMEA League,Regular Season,Week 1,Fracture,2,33%,67%
Champions Tour 2023: EMEA League,Regular Season,Week 1,Haven,2,51%,49%
Champions Tour 2023: EMEA League,Regular Season,Week 1,Pearl,2,43%,57%
Champions Tour 2023: EMEA League,Regular Season,Week 2,All Maps,10,42%,58%
Champions Tour 2023: EMEA League,Regular Season,Week 2,Ascent,4,46%,54%
Champions Tour 2023: EMEA League,Regular Season,Week 2,Lotus,2,42%,58%
Champions Tour 2023: EMEA League,Regular Season,Week 2,Fracture,1,38%,62%
Champions Tour 2023: EMEA League,Regular Season,Week 2,Haven,1,48%,52%
Champions Tour 2023: EMEA League,Regular Season,Week 2,Icebox,1,44%,56%
Champions Tour 2023: EMEA League,Regular Season,Week 2,Split,1,7%,93%
Champions Tour 2023: EMEA League,Regular Season,Week 3,All Maps,10,56%,44%
Champions Tour 2023: EMEA League,Regular Season,Week 3,Ascent,3,40%,60%
Champions Tour 2023: EMEA League,Regular Season,Week 3,Lotus,2,80%,20%
Champions Tour 2023: EMEA League,Regular Season,Week 3,Split,2,71%,29%
Champions Tour 2023: EMEA League,Regular Season,Week 3,Haven,1,32%,68%
Champions Tour 2023: EMEA League,Regular Season,Week 3,Icebox,1,48%,52%
Champions Tour 2023: EMEA League,Regular Season,Week 3,Pearl,1,56%,44%
Champions Tour 2023: EMEA League,Regular Season,Week 4,All Maps,10,48%,52%
Champions Tour 2023: EMEA League,Regular Season,Week 4,Ascent,3,33%,67%
Champions Tour 2023: EMEA League,Regular Season,Week 4,Lotus,2,73%,27%
Champions Tour 2023: EMEA League,Regular Season,Week 4,Split,2,69%,31%
Champions Tour 2023: EMEA League,Regular Season,Week 4,Fracture,1,42%,58%
Champions Tour 2023: EMEA League,Regular Season,Week 4,Haven,1,32%,68%
Champions Tour 2023: EMEA League,Regular Season,Week 4,Icebox,1,28%,72%
Champions Tour 2023: EMEA League,Regular Season,Week 5,All Maps,13,45%,55%
Champions Tour 2023: EMEA League,Regular Season,Week 5,Lotus,4,45%,55%
Champions Tour 2023: EMEA League,Regular Season,Week 5,Icebox,3,47%,53%
Champions Tour 2023: EMEA League,Regular Season,Week 5,Ascent,2,42%,58%
Champions Tour 2023: EMEA League,Regular Season,Week 5,Haven,2,48%,52%
Champions Tour 2023: EMEA League,Regular Season,Week 5,Fracture,1,52%,48%
Champions Tour 2023: EMEA League,Regular Season,Week 5,Split,1,30%,70%
Champions Tour 2023: EMEA League,Regular Season,Week 6,All Maps,11,48%,52%
Champions Tour 2023: EMEA League,Regular Season,Week 6,Bind,3,38%,62%
Champions Tour 2023: EMEA League,Regular Season,Week 6,Ascent,2,54%,46%
Champions Tour 2023: EMEA League,Regular Season,Week 6,Haven,2,47%,53%
Champions Tour 2023: EMEA League,Regular Season,Week 6,Pearl,2,58%,42%
Champions Tour 2023: EMEA League,Regular Season,Week 6,Fracture,1,54%,46%
Champions Tour 2023: EMEA League,Regular Season,Week 6,Lotus,1,42%,58%
Champions Tour 2023: EMEA League,Regular Season,Week 7,All Maps,11,51%,49%
Champions Tour 2023: EMEA League,Regular Season,Week 7,Lotus,4,48%,52%
Champions Tour 2023: EMEA League,Regular Season,Week 7,Ascent,3,55%,45%
Champions Tour 2023: EMEA League,Regular Season,Week 7,Bind,1,45%,55%
Champions Tour 2023: EMEA League,Regular Season,Week 7,Fracture,1,65%,35%
Champions Tour 2023: EMEA League,Regular Season,Week 7,Haven,1,33%,67%
Champions Tour 2023: EMEA League,Regular Season,Week 7,Split,1,52%,48%
Champions Tour 2023: EMEA League,Regular Season,Week 8,All Maps,11,55%,45%
Champions Tour 2023: EMEA League,Regular Season,Week 8,Lotus,4,64%,36%
Champions Tour 2023: EMEA League,Regular Season,Week 8,Haven,2,49%,51%
Champions Tour 2023: EMEA League,Regular Season,Week 8,Split,2,53%,47%
Champions Tour 2023: EMEA League,Regular Season,Week 8,Ascent,1,50%,50%
Champions Tour 2023: EMEA League,Regular Season,Week 8,Fracture,1,55%,45%
Champions Tour 2023: EMEA League,Regular Season,Week 8,Pearl,1,39%,61%
Champions Tour 2023: EMEA League,All Stages,All Match Types,All Maps,126,49%,51%
Champions Tour 2023: EMEA League,All Stages,All Match Types,Lotus,30,56%,44%
Champions Tour 2023: EMEA League,All Stages,All Match Types,Ascent,26,44%,56%
Champions Tour 2023: EMEA League,All Stages,All Match Types,Split,20,54%,46%
Champions Tour 2023: EMEA League,All Stages,All Match Types,Haven,15,46%,54%
Champions Tour 2023: EMEA League,All Stages,All Match Types,Fracture,10,47%,53%
Champions Tour 2023: EMEA League,All Stages,All Match Types,Icebox,10,46%,54%
Champions Tour 2023: EMEA League,All Stages,All Match Types,Bind,8,46%,54%
Champions Tour 2023: EMEA League,All Stages,All Match Types,Pearl,7,48%,52%
Champions Tour 2023: Americas League,Playoffs,Upper Round 1,All Maps,6,47%,53%
