Tournament,Stage,Match Type,Map,Total Maps Played,Attacker Side Win Percentage,Defender Side Win Percentage
Champions Tour Vietnam Stage 1: Challengers,Group Stage,Decider (A),Split,1,57%,43%
Champions Tour Vietnam Stage 1: Challengers,Group Stage,Decider (B),All Maps,2,54%,46%
Champions Tour Vietnam Stage 1: Challengers,Group Stage,Decider (B),Haven,1,69%,31%
Champions Tour Vietnam Stage 1: Challengers,Group Stage,Decider (B),Icebox,1,42%,58%
Champions Tour Vietnam Stage 1: Challengers,Group Stage,Decider (C),All Maps,3,53%,47%
Champions Tour Vietnam Stage 1: Challengers,Group Stage,Decider (C),Bind,1,50%,50%
Champions Tour Vietnam Stage 1: Challengers,Group Stage,Decider (C),Fracture,1,39%,61%
Champions Tour Vietnam Stage 1: Challengers,Group Stage,Decider (C),Haven,1,68%,32%
Champions Tour Vietnam Stage 1: Challengers,Group Stage,Decider (D),All Maps,2,38%,62%
Champions Tour Vietnam Stage 1: Challengers,Group Stage,Decider (D),Haven,1,18%,82%
Champions Tour Vietnam Stage 1: Challengers,Group Stage,Decider (D),Icebox,1,55%,45%
Champions Tour Vietnam Stage 1: Challengers,All Stages,All Match Types,All Maps,80,50%,50%
Champions Tour Vietnam Stage 1: Challengers,All Stages,All Match Types,Haven,22,51%,49%
Champions Tour Vietnam Stage 1: Challengers,All Stages,All Match Types,Ascent,14,51%,49%
Champions Tour Vietnam Stage 1: Challengers,All Stages,All Match Types,Icebox,13,52%,48%
Champions Tour Vietnam Stage 1: Challengers,All Stages,All Match Types,Bind,12,52%,48%
Champions Tour Vietnam Stage 1: Challengers,All Stages,All Match Types,Split,8,45%,55%
Champions Tour Vietnam Stage 1: Challengers,All Stages,All Match Types,Fracture,7,41%,59%
Champions Tour Vietnam Stage 1: Challengers,All Stages,All Match Types,Breeze,4,47%,53%
Champions Tour Latin America North Stage 1: Challengers,Play-In,Round 1,All Maps,5,45%,55%
Champions Tour Latin America North Stage 1: Challengers,Play-In,Round 1,Bind,1,93%,7%
Champions Tour Latin America North Stage 1: Challengers,Play-In,Round 1,Fracture,1,29%,71%
Champions Tour Latin America North Stage 1: Challengers,Play-In,Round 1,Haven,1,37%,63%
Champions Tour Latin America North Stage 1: Challengers,Play-In,Round 1,Icebox,1,47%,53%
Champions Tour Latin America North Stage 1: Challengers,Play-In,Round 1,Split,1,21%,79%
Champions Tour Latin America North Stage 1: Challengers,Play-In,Round 2,All Maps,2,56%,44%
Champions Tour Latin America North Stage 1: Challengers,Play-In,Round 2,Ascent,1,35%,65%
Champions Tour Latin America North Stage 1: Challengers,Play-In,Round 2,Icebox,1,76%,24%
Champions Tour Latin America North Stage 1: Challengers,Group Stage,Week 1,All Maps,10,52%,48%
Champions Tour Latin America North Stage 1: Challengers,Group Stage,Week 1,Bind,3,43%,57%
Champions Tour Latin America North Stage 1: Challengers,Group Stage,Week 1,Ascent,2,65%,35%
Champions Tour Latin America North Stage 1: Challengers,Group Stage,Week 1,Haven,2,64%,36%
Champions Tour Latin America North Stage 1: Challengers,Group Stage,Week 1,Fracture,1,48%,52%
Champions Tour Latin America North Stage 1: Challengers,Group Stage,Week 1,Icebox,1,47%,53%
Champions Tour Latin America North Stage 1: Challengers,Group Stage,Week 1,Split,1,38%,62%
Champions Tour Latin America North Stage 1: Challengers,Group Stage,Week 2,All Maps,10,45%,55%
Champions Tour Latin America North Stage 1: Challengers,Group Stage,Week 2,Split,3,38%,63%
Champions Tour Latin America North Stage 1: Challengers,Group Stage,Week 2,Haven,3,51%,49%
Champions Tour Latin America North Stage 1: Challengers,Group Stage,Week 2,Fracture,2,56%,44%
Champions Tour Latin America North Stage 1: Challengers,Group Stage,Week 2,Bind,1,38%,62%
Champions Tour Latin America North Stage 1: Challengers,Group Stage,Week 2,Icebox,1,35%,65%
Champions Tour Latin America North Stage 1: Challengers,Group Stage,Week 3,All Maps,9,53%,47%
Champions Tour Latin America North Stage 1: Challengers,Group Stage,Week 3,Ascent,3,46%,54%
Champions Tour Latin America North Stage 1: Challengers,Group Stage,Week 3,Haven,2,55%,45%
Champions Tour Latin America North Stage 1: Challengers,Group Stage,Week 3,Split,2,50%,50%
Champions Tour Latin America North Stage 1: Challengers,Group Stage,Week 3,Bind,1,56%,44%
Champions Tour Latin America North Stage 1: Challengers,Group Stage,Week 3,Breeze,1,71%,29%
Champions Tour Latin America North Stage 1: Challengers,Group Stage,Week 4,All Maps,7,58%,42%
Champions Tour Latin America North Stage 1: Challengers,Group Stage,Week 4,Bind,2,60%,40%
Champions Tour Latin America North Stage 1: Challengers,Group Stage,Week 4,Fracture,2,51%,49%
Champions Tour Latin America North Stage 1: Challengers,Group Stage,Week 4,Haven,2,78%,22%
Champions Tour Latin America North Stage 1: Challengers,Group Stage,Week 4,Ascent,1,33%,67%
Champions Tour Latin America North Stage 1: Challengers,Closed Qualifier,Quarterfinals,All Maps,10,51%,49%
Champions Tour Latin America North Stage 1: Challengers,Closed Qualifier,Quarterfinals,Ascent,2,38%,62%
Champions Tour Latin America North Stage 1: Challengers,Closed Qualifier,Quarterfinals,Bind,2,52%,48%
Champions Tour Latin America North Stage 1: Challengers,Closed Qualifier,Quarterfinals,Haven,2,63%,37%
Champions Tour Latin America North Stage 1: Challengers,Closed Qualifier,Quarterfinals,Split,2,56%,44%
Champions Tour Latin America North Stage 1: Challengers,Closed Qualifier,Quarterfinals,Breeze,1,41%,59%
Champions Tour Latin America North Stage 1: Challengers,Closed Qualifier,Quarterfinals,Fracture,1,46%,54%
Champions Tour Latin America North Stage 1: Challengers,Closed Qualifier,Semifinals,All Maps,4,43%,57%
Champions Tour Latin America North Stage 1: Challengers,Closed Qualifier,Semifinals,Ascent,1,56%,44%
Champions Tour Latin America North Stage 1: Challengers,Closed Qualifier,Semifinals,Fracture,1,23%,77%
Champions Tour Latin America North Stage 1: Challengers,Closed Qualifier,Semifinals,Haven,1,47%,53%
Champions Tour Latin America North Stage 1: Challengers,Closed Qualifier,Semifinals,Icebox,1,50%,50%
Champions Tour Latin America North Stage 1: Challengers,Closed Qualifier,Lower Round 1,All Maps,5,44%,56%
Champions Tour Latin America North Stage 1: Challengers,Closed Qualifier,Lower Round 1,Ascent,1,50%,50%
Champions Tour Latin America North Stage 1: Challengers,Closed Qualifier,Lower Round 1,Bind,1,38%,63%
Champions Tour Latin America North Stage 1: Challengers,Closed Qualifier,Lower Round 1,Breeze,1,59%,41%
Champions Tour Latin America North Stage 1: Challengers,Closed Qualifier,Lower Round 1,Haven,1,59%,41%
Champions Tour Latin America North Stage 1: Challengers,Closed Qualifier,Lower Round 1,Split,1,21%,79%
Champions Tour Latin America North Stage 1: Challengers,Closed Qualifier,Lower Round 2,All Maps,6,47%,53%
Champions Tour Latin America North Stage 1: Challengers,Closed Qualifier,Lower Round 2,Ascent,2,40%,60%
Champions Tour Latin America North Stage 1: Challengers,Closed Qualifier,Lower Round 2,Bind,1,71%,29%
Champions Tour Latin America North Stage 1: Challengers,Closed Qualifier,Lower Round 2,Breeze,1,39%,61%
Champions Tour Latin America North Stage 1: Challengers,Closed Qualifier,Lower Round 2,Haven,1,39%,61%
Champions Tour Latin America North Stage 1: Challengers,Closed Qualifier,Lower Round 2,Split,1,50%,50%
Champions Tour Latin America North Stage 1: Challengers,Open Qualifier,Round of 16,All Maps,17,47%,53%
Champions Tour Latin America North Stage 1: Challengers,Open Qualifier,Round of 16,Ascent,5,48%,52%
Champions Tour Latin America North Stage 1: Challengers,Open Qualifier,Round of 16,Split,4,47%,53%
Champions Tour Latin America North Stage 1: Challengers,Open Qualifier,Round of 16,Haven,3,49%,51%
Champions Tour Latin America North Stage 1: Challengers,Open Qualifier,Round of 16,Bind,2,55%,45%
Champions Tour Latin America North Stage 1: Challengers,Open Qualifier,Round of 16,Breeze,1,35%,65%
Champions Tour Latin America North Stage 1: Challengers,Open Qualifier,Round of 16,Fracture,1,33%,67%
Champions Tour Latin America North Stage 1: Challengers,Open Qualifier,Round of 16,Icebox,1,41%,59%
Champions Tour Latin America North Stage 1: Challengers,All Stages,All Match Types,All Maps,85,49%,51%
Champions Tour Latin America North Stage 1: Challengers,All Stages,All Match Types,Ascent,18,46%,54%
Champions Tour Latin America North Stage 1: Challengers,All Stages,All Match Types,Haven,18,55%,45%
Champions Tour Latin America North Stage 1: Challengers,All Stages,All Match Types,Split,15,43%,57%
Champions Tour Latin America North Stage 1: Challengers,All Stages,All Match Types,Bind,14,53%,47%
Champions Tour Latin America North Stage 1: Challengers,All Stages,All Match Types,Fracture,9,44%,56%
Champions Tour Latin America North Stage 1: Challengers,All Stages,All Match Types,Icebox,6,50%,50%
Champions Tour Latin America North Stage 1: Challengers,All Stages,All Match Types,Breeze,5,50%,50%
Champions Tour Stage 1: EMEA Challengers,Playoffs,Upper Round 1,All Maps,5,45%,55%
Champions Tour Stage 1: EMEA Challengers,Playoffs,Upper Round 1,Bind,1,53%,47%
Champions Tour Stage 1: EMEA Challengers,Playoffs,Upper Round 1,Fracture,1,71%,29%
Champions Tour Stage 1: EMEA Challengers,Playoffs,Upper Round 1,Haven,1,38%,62%
Champions Tour Stage 1: EMEA Challengers,Playoffs,Upper Round 1,Icebox,1,33%,67%
Champions Tour Stage 1: EMEA Challengers,Playoffs,Upper Round 1,Split,1,32%,68%
Champions Tour Stage 1: EMEA Challengers,Playoffs,Upper Semifinals,All Maps,5,47%,53%
Champions Tour Stage 1: EMEA Challengers,Playoffs,Upper Semifinals,Split,2,45%,55%
Champions Tour Stage 1: EMEA Challengers,Playoffs,Upper Semifinals,Bind,1,52%,48%
Champions Tour Stage 1: EMEA Challengers,Playoffs,Upper Semifinals,Fracture,1,46%,54%
Champions Tour Stage 1: EMEA Challengers,Playoffs,Upper Semifinals,Haven,1,50%,50%
Champions Tour Stage 1: EMEA Challengers,Playoffs,Upper Final,All Maps,2,47%,53%
Champions Tour Stage 1: EMEA Challengers,Playoffs,Upper Final,Split,1,8%,92%
Champions Tour Stage 1: EMEA Challengers,Playoffs,Upper Final,Haven,1,70%,30%
Champions Tour Stage 1: EMEA Challengers,Playoffs,Grand Final,All Maps,4,46%,54%
Champions Tour Stage 1: EMEA Challengers,Playoffs,Grand Final,Ascent,1,55%,45%
Champions Tour Stage 1: EMEA Challengers,Playoffs,Grand Final,Breeze,1,52%,48%
Champions Tour Stage 1: EMEA Challengers,Playoffs,Grand Final,Icebox,1,47%,53%
Champions Tour Stage 1: EMEA Challengers,Playoffs,Grand Final,Split,1,33%,67%
Champions Tour Stage 1: EMEA Challengers,Playoffs,Lower Round 1,All Maps,4,49%,51%
Champions Tour Stage 1: EMEA Challengers,Playoffs,Lower Round 1,Ascent,1,57%,43%
Champions Tour Stage 1: EMEA Challengers,Playoffs,Lower Round 1,Bind,1,57%,43%
Champions Tour Stage 1: EMEA Challengers,Playoffs,Lower Round 1,Breeze,1,38%,63%
Champions Tour Stage 1: EMEA Challengers,Playoffs,Lower Round 1,Icebox,1,48%,52%
Champions Tour Stage 1: EMEA Challengers,Playoffs,Lower Round 2,All Maps,2,56%,44%
Champions Tour Stage 1: EMEA Challengers,Playoffs,Lower Round 2,Split,1,53%,47%
Champions Tour Stage 1: EMEA Challengers,Playoffs,Lower Round 2,Icebox,1,59%,41%
Champions Tour Stage 1: EMEA Challengers,Playoffs,Lower Final,All Maps,3,47%,53%
Champions Tour Stage 1: EMEA Challengers,Playoffs,Lower Final,Ascent,1,61%,39%
Champions Tour Stage 1: EMEA Challengers,Playoffs,Lower Final,Breeze,1,41%,59%
Champions Tour Stage 1: EMEA Challengers,Playoffs,Lower Final,Icebox,1,33%,67%
Champions Tour Stage 1: EMEA Challengers,Group Stage,Week 1,All Maps,14,52%,48%
Champions Tour Stage 1: EMEA Challengers,Group Stage,Week 1,Ascent,3,56%,44%
Champions Tour Stage 1: EMEA Challengers,Group Stage,Week 1,Haven,3,58%,42%
Champions Tour Stage 1: EMEA Challengers,Group Stage,Week 1,Bind,2,51%,49%
Champions Tour Stage 1: EMEA Challengers,Group Stage,Week 1,Breeze,2,45%,55%
Champions Tour Stage 1: EMEA Challengers,Group Stage,Week 1,Icebox,2,49%,51%
Champions Tour Stage 1: EMEA Challengers,Group Stage,Week 1,Split,2,49%,51%
Champions Tour Stage 1: EMEA Challengers,Group Stage,Week 2,All Maps,16,46%,54%
Champions Tour Stage 1: EMEA Challengers,Group Stage,Week 2,Split,4,33%,67%
Champions Tour Stage 1: EMEA Challengers,Group Stage,Week 2,Haven,3,58%,42%
Champions Tour Stage 1: EMEA Challengers,Group Stage,Week 2,Bind,2,48%,52%
Champions Tour Stage 1: EMEA Challengers,Group Stage,Week 2,Breeze,2,46%,54%
Champions Tour Stage 1: EMEA Challengers,Group Stage,Week 2,Fracture,2,61%,39%
Champions Tour Stage 1: EMEA Challengers,Group Stage,Week 2,Icebox,2,35%,65%
Champions Tour Stage 1: EMEA Challengers,Group Stage,Week 2,Ascent,1,57%,43%
Champions Tour Stage 1: EMEA Challengers,Group Stage,Week 3,All Maps,14,49%,51%
Champions Tour Stage 1: EMEA Challengers,Group Stage,Week 3,Ascent,3,55%,45%
Champions Tour Stage 1: EMEA Challengers,Group Stage,Week 3,Haven,3,41%,59%
Champions Tour Stage 1: EMEA Challengers,Group Stage,Week 3,Breeze,2,44%,56%
Champions Tour Stage 1: EMEA Challengers,Group Stage,Week 3,Icebox,2,39%,61%
Champions Tour Stage 1: EMEA Challengers,Group Stage,Week 3,Split,2,43%,57%
Champions Tour Stage 1: EMEA Challengers,Group Stage,Week 3,Bind,1,75%,25%
Champions Tour Stage 1: EMEA Challengers,Group Stage,Week 3,Fracture,1,61%,39%
Champions Tour Stage 1: EMEA Challengers,Group Stage,Week 4,All Maps,15,56%,44%
Champions Tour Stage 1: EMEA Challengers,Group Stage,Week 4,Split,5,46%,54%
Champions Tour Stage 1: EMEA Challengers,Group Stage,Week 4,Ascent,2,65%,35%
Champions Tour Stage 1: EMEA Challengers,Group Stage,Week 4,Bind,2,53%,47%
Champions Tour Stage 1: EMEA Challengers,Group Stage,Week 4,Breeze,2,70%,30%
Champions Tour Stage 1: EMEA Challengers,Group Stage,Week 4,Haven,2,56%,44%
Champions Tour Stage 1: EMEA Challengers,Group Stage,Week 4,Icebox,2,55%,45%
Champions Tour Stage 1: EMEA Challengers,Group Stage,Week 5,All Maps,14,54%,46%
Champions Tour Stage 1: EMEA Challengers,Group Stage,Week 5,Ascent,5,39%,61%
Champions Tour Stage 1: EMEA Challengers,Group Stage,Week 5,Icebox,3,54%,46%
Champions Tour Stage 1: EMEA Challengers,Group Stage,Week 5,Bind,2,59%,41%
Champions Tour Stage 1: EMEA Challengers,Group Stage,Week 5,Haven,2,64%,36%
Champions Tour Stage 1: EMEA Challengers,Group Stage,Week 5,Breeze,1,79%,21%
Champions Tour Stage 1: EMEA Challengers,Group Stage,Week 5,Split,1,71%,29%
Champions Tour Stage 1: EMEA Challengers,All Stages,All Match Types,All Maps,98,50%,50%
Champions Tour Stage 1: EMEA Challengers,All Stages,All Match Types,Split,20,42%,58%
Champions Tour Stage 1: EMEA Challengers,All Stages,All Match Types,Ascent,17,53%,47%
Champions Tour Stage 1: EMEA Challengers,All Stages,All Match Types,Haven,16,54%,46%
Champions Tour Stage 1: EMEA Challengers,All Stages,All Match Types,Icebox,16,46%,54%
Champions Tour Stage 1: EMEA Challengers,All Stages,All Match Types,Bind,12,55%,45%
Champions Tour Stage 1: EMEA Challengers,All Stages,All Match Types,Breeze,12,51%,49%
Champions Tour Stage 1: EMEA Challengers,All Stages,All Match Types,Fracture,5,60%,40%
Oceania Tour: Stage 1,Regional Playoffs,Upper Bracket Quarterfinals,All Maps,9,47%,53%
Oceania Tour: Stage 1,Regional Playoffs,Upper Bracket Quarterfinals,Ascent,2,44%,56%
Oceania Tour: Stage 1,Regional Playoffs,Upper Bracket Quarterfinals,Breeze,2,59%,41%
Oceania Tour: Stage 1,Regional Playoffs,Upper Bracket Quarterfinals,Haven,2,32%,68%
Oceania Tour: Stage 1,Regional Playoffs,Upper Bracket Quarterfinals,Icebox,2,53%,47%
Oceania Tour: Stage 1,Regional Playoffs,Upper Bracket Quarterfinals,Bind,1,50%,50%
Oceania Tour: Stage 1,Regional Playoffs,Lower Bracket Round 1,All Maps,4,56%,44%
Oceania Tour: Stage 1,Regional Playoffs,Lower Bracket Round 1,Icebox,2,66%,34%
Oceania Tour: Stage 1,Regional Playoffs,Lower Bracket Round 1,Breeze,1,53%,47%
Oceania Tour: Stage 1,Regional Playoffs,Lower Bracket Round 1,Fracture,1,43%,57%
Oceania Tour: Stage 1,Regional Playoffs,Upper Bracket Semifinals,All Maps,6,45%,55%
Oceania Tour: Stage 1,Regional Playoffs,Upper Bracket Semifinals,Ascent,2,38%,63%
Oceania Tour: Stage 1,Regional Playoffs,Upper Bracket Semifinals,Icebox,2,50%,50%
Oceania Tour: Stage 1,Regional Playoffs,Upper Bracket Semifinals,Bind,1,62%,38%
Oceania Tour: Stage 1,Regional Playoffs,Upper Bracket Semifinals,Haven,1,33%,67%
Oceania Tour: Stage 1,Regional Playoffs,Lower Bracket Round 2,All Maps,5,55%,45%
Oceania Tour: Stage 1,Regional Playoffs,Lower Bracket Round 2,Bind,2,68%,32%
Oceania Tour: Stage 1,Regional Playoffs,Lower Bracket Round 2,Ascent,1,30%,70%
Oceania Tour: Stage 1,Regional Playoffs,Lower Bracket Round 2,Haven,1,82%,18%
Oceania Tour: Stage 1,Regional Playoffs,Lower Bracket Round 2,Icebox,1,29%,71%
Oceania Tour: Stage 1,Regional Playoffs,Upper Bracket Finals,All Maps,2,45%,55%
Oceania Tour: Stage 1,Regional Playoffs,Upper Bracket Finals,Bind,1,43%,57%
Oceania Tour: Stage 1,Regional Playoffs,Upper Bracket Finals,Icebox,1,48%,52%
Oceania Tour: Stage 1,Regional Playoffs,Lower Bracket Round 3,All Maps,2,38%,62%
Oceania Tour: Stage 1,Regional Playoffs,Lower Bracket Round 3,Breeze,1,42%,58%
Oceania Tour: Stage 1,Regional Playoffs,Lower Bracket Round 3,Icebox,1,35%,65%
Oceania Tour: Stage 1,Regional Playoffs,Lower Bracket Finals,All Maps,2,50%,50%
Oceania Tour: Stage 1,Regional Playoffs,Lower Bracket Finals,Bind,1,44%,56%
Oceania Tour: Stage 1,Regional Playoffs,Lower Bracket Finals,Fracture,1,55%,45%
Oceania Tour: Stage 1,Regional Playoffs,Grand Finals,All Maps,4,44%,56%
Oceania Tour: Stage 1,Regional Playoffs,Grand Finals,Bind,1,25%,75%
Oceania Tour: Stage 1,Regional Playoffs,Grand Finals,Breeze,1,62%,38%
Oceania Tour: Stage 1,Regional Playoffs,Grand Finals,Fracture,1,41%,59%
Oceania Tour: Stage 1,Regional Playoffs,Grand Finals,Icebox,1,50%,50%
Oceania Tour: Stage 1,Group Stage,Week 1,All Maps,13,60%,40%
Oceania Tour: Stage 1,Group Stage,Week 1,Icebox,4,72%,28%
Oceania Tour: Stage 1,Group Stage,Week 1,Bind,3,54%,46%
Oceania Tour: Stage 1,Group Stage,Week 1,Breeze,3,50%,50%
Oceania Tour: Stage 1,Group Stage,Week 1,Haven,2,63%,37%
Oceania Tour: Stage 1,Group Stage,Week 1,Fracture,1,50%,50%
Oceania Tour: Stage 1,Group Stage,Week 2,All Maps,14,52%,48%
Oceania Tour: Stage 1,Group Stage,Week 2,Bind,4,54%,46%
Oceania Tour: Stage 1,Group Stage,Week 2,Ascent,3,54%,46%
Oceania Tour: Stage 1,Group Stage,Week 2,Icebox,3,45%,55%
Oceania Tour: Stage 1,Group Stage,Week 2,Haven,2,48%,52%
Oceania Tour: Stage 1,Group Stage,Week 2,Breeze,1,83%,17%
Oceania Tour: Stage 1,Group Stage,Week 2,Split,1,45%,55%
Oceania Tour: Stage 1,Open Qualifier,Round of 16,All Maps,18,50%,50%
Oceania Tour: Stage 1,Open Qualifier,Round of 16,Ascent,6,39%,61%
Oceania Tour: Stage 1,Open Qualifier,Round of 16,Icebox,5,65%,35%
Oceania Tour: Stage 1,Open Qualifier,Round of 16,Haven,3,52%,48%
Oceania Tour: Stage 1,Open Qualifier,Round of 16,Fracture,2,41%,59%
Oceania Tour: Stage 1,Open Qualifier,Round of 16,Bind,1,48%,52%
Oceania Tour: Stage 1,Open Qualifier,Round of 16,Breeze,1,52%,48%
Oceania Tour: Stage 1,Open Qualifier,Quarterfinals,All Maps,10,51%,49%
Oceania Tour: Stage 1,Open Qualifier,Quarterfinals,Bind,3,51%,49%
Oceania Tour: Stage 1,Open Qualifier,Quarterfinals,Fracture,2,63%,37%
Oceania Tour: Stage 1,Open Qualifier,Quarterfinals,Icebox,2,57%,43%
Oceania Tour: Stage 1,Open Qualifier,Quarterfinals,Ascent,1,52%,48%
Oceania Tour: Stage 1,Open Qualifier,Quarterfinals,Breeze,1,32%,68%
Oceania Tour: Stage 1,Open Qualifier,Quarterfinals,Haven,1,37%,63%
Oceania Tour: Stage 1,Open Qualifier,Semifinals,All Maps,4,61%,39%
Oceania Tour: Stage 1,Open Qualifier,Semifinals,Fracture,2,63%,37%
Oceania Tour: Stage 1,Open Qualifier,Semifinals,Haven,1,58%,42%
Oceania Tour: Stage 1,Open Qualifier,Semifinals,Icebox,1,59%,41%
Oceania Tour: Stage 1,Open Qualifier,Grand Finals,All Maps,3,56%,44%
Oceania Tour: Stage 1,Open Qualifier,Grand Finals,Ascent,1,56%,44%
Oceania Tour: Stage 1,Open Qualifier,Grand Finals,Fracture,1,75%,25%
Oceania Tour: Stage 1,Open Qualifier,Grand Finals,Haven,1,21%,79%
Oceania Tour: Stage 1,Open Qualifier,Consolation Finals,All Maps,3,52%,48%
Oceania Tour: Stage 1,Open Qualifier,Consolation Finals,Breeze,1,50%,50%
Oceania Tour: Stage 1,Open Qualifier,Consolation Finals,Fracture,1,48%,52%
Oceania Tour: Stage 1,Open Qualifier,Consolation Finals,Icebox,1,59%,41%
Oceania Tour: Stage 1,Open Qualifier,Lower Bracket Semifinals,All Maps,5,56%,44%
Oceania Tour: Stage 1,Open Qualifier,Lower Bracket Semifinals,Bind,2,50%,50%
Oceania Tour: Stage 1,Open Qualifier,Lower Bracket Semifinals,Ascent,1,77%,23%
Oceania Tour: Stage 1,Open Qualifier,Lower Bracket Semifinals,Haven,1,39%,61%
Oceania Tour: Stage 1,Open Qualifier,Lower Bracket Semifinals,Icebox,1,62%,38%
Oceania Tour: Stage 1,Open Qualifier,Lower Bracket Finals,All Maps,2,52%,48%
Oceania Tour: Stage 1,Open Qualifier,Lower Bracket Finals,Haven,1,79%,21%
Oceania Tour: Stage 1,Open Qualifier,Lower Bracket Finals,Icebox,1,29%,71%
Oceania Tour: Stage 1,Open Qualifier,Lower Bracket Consolation Finals,All Maps,2,87%,13%
Oceania Tour: Stage 1,Open Qualifier,Lower Bracket Consolation Finals,Breeze,1,83%,17%
Oceania Tour: Stage 1,Open Qualifier,Lower Bracket Consolation Finals,Haven,1,92%,8%
Oceania Tour: Stage 1,All Stages,All Match Types,All Maps,108,52%,48%
Oceania Tour: Stage 1,All Stages,All Match Types,Icebox,28,56%,44%
Oceania Tour: Stage 1,All Stages,All Match Types,Bind,20,52%,48%
Oceania Tour: Stage 1,All Stages,All Match Types,Ascent,17,46%,54%
Oceania Tour: Stage 1,All Stages,All Match Types,Haven,17,51%,49%
Oceania Tour: Stage 1,All Stages,All Match Types,Breeze,13,55%,45%
Oceania Tour: Stage 1,All Stages,All Match Types,Fracture,12,54%,46%
Oceania Tour: Stage 1,All Stages,All Match Types,Split,1,45%,55%
Champions Tour Philippines Stage 1: Challengers,Playoffs,Upper Round 1,All Maps,6,61%,39%
Champions Tour Philippines Stage 1: Challengers,Playoffs,Upper Round 1,Haven,2,63%,37%
Champions Tour Philippines Stage 1: Challengers,Playoffs,Upper Round 1,Ascent,1,92%,8%
Champions Tour Philippines Stage 1: Challengers,Playoffs,Upper Round 1,Bind,1,65%,35%
Champions Tour Philippines Stage 1: Challengers,Playoffs,Upper Round 1,Fracture,1,67%,33%
Champions Tour Philippines Stage 1: Challengers,Playoffs,Upper Round 1,Split,1,33%,67%
Champions Tour Philippines Stage 1: Challengers,Playoffs,Upper Semifinals,All Maps,4,57%,43%
Champions Tour Philippines Stage 1: Challengers,Playoffs,Upper Semifinals,Icebox,2,53%,48%
Champions Tour Philippines Stage 1: Challengers,Playoffs,Upper Semifinals,Ascent,1,68%,32%
Champions Tour Philippines Stage 1: Challengers,Playoffs,Upper Semifinals,Haven,1,54%,46%
Champions Tour Philippines Stage 1: Challengers,Playoffs,Upper Final,All Maps,3,38%,63%
Champions Tour Philippines Stage 1: Challengers,Playoffs,Upper Final,Bind,1,54%,46%
Champions Tour Philippines Stage 1: Challengers,Playoffs,Upper Final,Haven,1,42%,58%
Champions Tour Philippines Stage 1: Challengers,Playoffs,Upper Final,Icebox,1,14%,86%
Champions Tour Philippines Stage 1: Challengers,Playoffs,Lower Round 1,All Maps,4,63%,38%
Champions Tour Philippines Stage 1: Challengers,Playoffs,Lower Round 1,Haven,2,70%,30%
Champions Tour Philippines Stage 1: Challengers,Playoffs,Lower Round 1,Breeze,1,50%,50%
Champions Tour Philippines Stage 1: Challengers,Playoffs,Lower Round 1,Fracture,1,58%,42%
Champions Tour Philippines Stage 1: Challengers,Playoffs,Lower Round 2,All Maps,2,54%,46%
Champions Tour Philippines Stage 1: Challengers,Playoffs,Lower Round 2,Ascent,1,42%,58%
Champions Tour Philippines Stage 1: Challengers,Playoffs,Lower Round 2,Icebox,1,67%,33%
Champions Tour Philippines Stage 1: Challengers,Playoffs,Lower Final,All Maps,3,51%,49%
Champions Tour Philippines Stage 1: Challengers,Playoffs,Lower Final,Ascent,1,39%,61%
Champions Tour Philippines Stage 1: Challengers,Playoffs,Lower Final,Haven,1,63%,38%
Champions Tour Philippines Stage 1: Challengers,Playoffs,Lower Final,Split,1,52%,48%
Champions Tour Philippines Stage 1: Challengers,Playoffs,Grand Final,All Maps,4,57%,43%
Champions Tour Philippines Stage 1: Challengers,Playoffs,Grand Final,Ascent,1,67%,33%
Champions Tour Philippines Stage 1: Challengers,Playoffs,Grand Final,Breeze,1,79%,21%
Champions Tour Philippines Stage 1: Challengers,Playoffs,Grand Final,Haven,1,46%,54%
Champions Tour Philippines Stage 1: Challengers,Playoffs,Grand Final,Icebox,1,33%,67%
Champions Tour Philippines Stage 1: Challengers,Group Stage,Group A,All Maps,30,48%,52%
Champions Tour Philippines Stage 1: Challengers,Group Stage,Group A,Ascent,9,44%,56%
Champions Tour Philippines Stage 1: Challengers,Group Stage,Group A,Haven,7,49%,51%
Champions Tour Philippines Stage 1: Challengers,Group Stage,Group A,Icebox,6,53%,47%
Champions Tour Philippines Stage 1: Challengers,Group Stage,Group A,Bind,3,42%,58%
Champions Tour Philippines Stage 1: Challengers,Group Stage,Group A,Fracture,3,51%,49%
Champions Tour Philippines Stage 1: Challengers,Group Stage,Group A,Split,2,55%,45%
Champions Tour Philippines Stage 1: Challengers,Group Stage,Group B,All Maps,26,49%,51%
Champions Tour Philippines Stage 1: Challengers,Group Stage,Group B,Haven,8,43%,57%
Champions Tour Philippines Stage 1: Challengers,Group Stage,Group B,Ascent,7,49%,51%
Champions Tour Philippines Stage 1: Challengers,Group Stage,Group B,Icebox,4,51%,49%
Champions Tour Philippines Stage 1: Challengers,Group Stage,Group B,Breeze,3,50%,50%
Champions Tour Philippines Stage 1: Challengers,Group Stage,Group B,Bind,2,68%,32%
Champions Tour Philippines Stage 1: Challengers,Group Stage,Group B,Split,2,48%,52%
Champions Tour Philippines Stage 1: Challengers,Open Qualifier,Upper Quarterfinals,All Maps,9,44%,56%
Champions Tour Philippines Stage 1: Challengers,Open Qualifier,Upper Quarterfinals,Haven,3,48%,52%
