Tournament,Stage,Match Type,Player,Team,Agents,Rounds Played,Rating,Average Combat Score,Kills:Deaths,"Kill, Assist, Trade, Survive %",Average Damage Per Round,Kills Per Round,Assists Per Round,First Kills Per Round,First Deaths Per Round,Headshot %,Clutch Success %,Clutches (won/played),Maximum Kills in a Single Map,Kills,Deaths,Assists,First Kills,First Deaths
Champions Tour 2023: EMEA League,All Stages,All Match Types,Chronicle,FNATIC,viper,225,1.28,252.5,1.38,80%,159,0.87,0.37,0.12,0.09,22%,30%,7/23,25,196,142,84,28,20
Champions Tour 2023: EMEA League,All Stages,All Match Types,Chronicle,FNATIC,"viper, breach, kayo, sage",570,1.22,224.4,1.27,80%,142,0.78,0.46,0.09,0.07,24%,22%,11/50,25,446,350,261,53,39
Champions Tour 2023: EMEA League,All Stages,All Match Types,Alfajer,FNATIC,cypher,98,1.16,228,1.44,73%,150.4,0.91,0.17,0.13,0.11,30%,18%,3/17,29,89,62,17,13,11
Champions Tour 2023: EMEA League,All Stages,All Match Types,Alfajer,FNATIC,killjoy,367,1.25,231.7,1.48,77%,153.2,0.84,0.18,0.12,0.07,26%,17%,9/54,26,309,209,67,44,25
Champions Tour 2023: EMEA League,All Stages,All Match Types,Alfajer,FNATIC,"cypher, killjoy",465,1.23,230.9,1.47,77%,152.6,0.86,0.18,0.12,0.08,27%,17%,12/71,29,398,271,84,57,36
Champions Tour 2023: EMEA League,All Stages,All Match Types,kamyk,FNATIC,cypher,48,1.02,174.5,1.21,69%,106.7,0.71,0.15,0.08,0.08,28%,,0/6,19,34,28,7,4,4
Champions Tour 2023: EMEA League,All Stages,All Match Types,kamyk,FNATIC,killjoy,57,1.12,216.7,1.25,77%,143.3,0.79,0.19,0.16,0.05,30%,11%,1/9,22,45,36,11,9,3
Champions Tour 2023: EMEA League,All Stages,All Match Types,kamyk,FNATIC,"cypher, killjoy",105,1.08,199.8,1.23,73%,126.6,0.75,0.17,0.12,0.07,29%,7%,1/15,22,79,64,18,13,7
Champions Tour 2023: EMEA League,All Stages,All Match Types,Leo,FNATIC,fade,187,1.14,178.4,1.19,83%,111.4,0.65,0.4,0.02,0.03,23%,29%,5/17,18,121,102,75,3,5
Champions Tour 2023: EMEA League,All Stages,All Match Types,Leo,FNATIC,skye,146,1.3,207.4,1.46,86%,128.7,0.76,0.47,0.01,0.03,19%,14%,2/14,24,111,76,68,2,4
Champions Tour 2023: EMEA League,All Stages,All Match Types,Leo,FNATIC,sova,237,1.23,209.6,1.35,82%,137.4,0.73,0.41,0.05,0.03,21%,16%,5/32,23,174,129,96,13,8
Champions Tour 2023: EMEA League,All Stages,All Match Types,Leo,FNATIC,"sova, skye, fade",570,1.22,199,1.32,84%,126.6,0.71,0.42,0.03,0.03,21%,19%,12/63,24,406,307,239,18,17
Champions Tour 2023: EMEA League,All Stages,All Match Types,Derke,FNATIC,jett,237,1.25,278.8,1.4,75%,175.2,1,0.17,0.28,0.16,27%,11%,1/9,30,236,169,40,66,39
Champions Tour 2023: EMEA League,All Stages,All Match Types,Derke,FNATIC,raze,333,1.14,261.1,1.24,73%,170.6,0.88,0.2,0.25,0.17,24%,7%,1/15,30,293,237,66,82,55
Champions Tour 2023: EMEA League,All Stages,All Match Types,Derke,FNATIC,"jett, raze",570,1.19,268.6,1.3,74%,172.5,0.93,0.19,0.26,0.16,25%,8%,2/24,30,529,406,106,148,94
Champions Tour 2023: EMEA League,All Stages,All Match Types,koldamenta,KOI,astra,40,0.99,179,0.86,65%,106.7,0.6,0.33,0.15,0.1,22%,,0/3,12,24,28,13,6,4
Champions Tour 2023: EMEA League,All Stages,All Match Types,koldamenta,KOI,brimstone,68,0.76,141.3,0.65,72%,84.5,0.47,0.43,0.04,0.12,25%,,0/4,14,32,49,29,3,8
Champions Tour 2023: EMEA League,All Stages,All Match Types,koldamenta,KOI,omen,169,0.7,128.3,0.55,66%,81.2,0.43,0.4,0.02,0.09,25%,20%,4/20,13,72,131,68,3,16
Champions Tour 2023: EMEA League,All Stages,All Match Types,koldamenta,KOI,sova,176,0.66,117.1,0.51,60%,80.5,0.36,0.26,0.03,0.09,21%,14%,3/21,14,64,126,45,5,16
Champions Tour 2023: EMEA League,All Stages,All Match Types,koldamenta,KOI,"brimstone, astra, omen, sova",453,0.72,130.7,0.57,65%,83.7,0.42,0.34,0.04,0.1,23%,15%,7/48,14,192,334,155,17,44
Champions Tour 2023: EMEA League,All Stages,All Match Types,sheydos,KOI,breach,178,0.95,170.1,0.93,76%,118.8,0.66,0.39,0.02,0.03,27%,11%,4/36,36,117,126,70,3,6
Champions Tour 2023: EMEA League,All Stages,All Match Types,sheydos,KOI,brimstone,18,1.19,265,1.21,61%,156.6,0.94,0.22,0.11,0.11,46%,,0/2,17,17,14,4,2,2
Champions Tour 2023: EMEA League,All Stages,All Match Types,sheydos,KOI,cypher,22,0.97,206,1.13,64%,151.1,0.77,0.09,0.14,0.18,43%,,0/2,17,17,15,2,3,4
Champions Tour 2023: EMEA League,All Stages,All Match Types,sheydos,KOI,killjoy,166,1.16,221.8,1.34,75%,142.7,0.85,0.14,0.09,0.05,28%,19%,4/21,27,141,105,24,15,9
Champions Tour 2023: EMEA League,All Stages,All Match Types,sheydos,KOI,sage,24,1.06,194,1.19,92%,112.1,0.79,0.33,0.04,0,30%,17%,1/6,19,19,16,8,1,0
Champions Tour 2023: EMEA League,All Stages,All Match Types,sheydos,KOI,viper,45,1.1,195,1.03,69%,123.5,0.71,0.29,0.02,0.02,21%,18%,2/11,18,32,31,13,1,1
Champions Tour 2023: EMEA League,All Stages,All Match Types,sheydos,KOI,"brimstone, viper, sage, killjoy, cypher, breach",453,1.06,199.5,1.12,75%,130.8,0.76,0.27,0.06,0.05,28%,14%,11/78,36,343,307,121,25,22
Champions Tour 2023: EMEA League,All Stages,All Match Types,starxo,KOI,breach,22,0.83,192,1,73%,121.4,0.73,0.23,0.05,0.05,40%,,0/2,16,16,16,5,1,1
Champions Tour 2023: EMEA League,All Stages,All Match Types,starxo,KOI,fade,44,1.06,189,0.97,73%,118.2,0.68,0.52,0.07,0.07,20%,17%,1/6,16,30,31,23,3,3
Champions Tour 2023: EMEA League,All Stages,All Match Types,starxo,KOI,omen,158,0.89,168,0.86,72%,119.5,0.64,0.44,0.07,0.07,20%,10%,2/20,36,101,118,70,11,11
Champions Tour 2023: EMEA League,All Stages,All Match Types,starxo,KOI,raze,100,0.8,194,0.76,68%,139.9,0.62,0.21,0.14,0.25,16%,13%,1/8,22,62,82,21,14,25
Champions Tour 2023: EMEA League,All Stages,All Match Types,starxo,KOI,skye,129,0.95,188.3,0.82,72%,122.7,0.65,0.46,0.09,0.09,24%,8%,1/12,18,84,102,59,12,11
Champions Tour 2023: EMEA League,All Stages,All Match Types,starxo,KOI,"skye, omen, raze, breach, fade",453,0.9,183.1,0.84,71%,124.9,0.65,0.39,0.09,0.11,21%,10%,5/48,36,293,349,178,41,51
Champions Tour 2023: EMEA League,All Stages,All Match Types,Wolfen,KOI,cypher,68,1.03,225.3,1.14,71%,144.6,0.82,0.21,0.12,0.18,27%,,0/9,25,56,49,14,8,12
Champions Tour 2023: EMEA League,All Stages,All Match Types,Wolfen,KOI,jett,212,0.8,190.6,0.84,61%,123.6,0.67,0.16,0.19,0.22,23%,18%,2/11,22,141,167,34,41,47
Champions Tour 2023: EMEA League,All Stages,All Match Types,Wolfen,KOI,killjoy,155,0.85,186.3,0.87,68%,126.3,0.67,0.15,0.11,0.11,28%,7%,1/14,24,104,119,24,17,17
Champions Tour 2023: EMEA League,All Stages,All Match Types,Wolfen,KOI,raze,18,0.62,142,0.47,61%,96.3,0.39,0.28,0.06,0.22,13%,,,7,7,15,5,1,4
Champions Tour 2023: EMEA League,All Stages,All Match Types,Wolfen,KOI,"cypher, killjoy, jett, raze",453,0.84,191.8,0.88,65%,126.6,0.68,0.17,0.15,0.18,25%,9%,3/34,25,308,350,77,67,80
Champions Tour 2023: EMEA League,All Stages,All Match Types,trexx,KOI,fade,40,1.11,216,1.23,75%,132,0.8,0.3,0.03,0.08,18%,17%,1/6,18,32,26,12,1,3
Champions Tour 2023: EMEA League,All Stages,All Match Types,trexx,KOI,kayo,166,1.23,233.8,1.19,76%,148.1,0.79,0.51,0.09,0.08,16%,15%,4/27,24,131,110,85,15,13
Champions Tour 2023: EMEA League,All Stages,All Match Types,trexx,KOI,raze,169,0.97,222.9,1.02,72%,159.4,0.77,0.21,0.17,0.19,18%,8%,1/12,33,130,128,35,29,32
Champions Tour 2023: EMEA League,All Stages,All Match Types,trexx,KOI,skye,60,1.11,230,1.04,72%,148.8,0.78,0.45,0.02,0.1,18%,14%,1/7,21,47,45,27,1,6
Champions Tour 2023: EMEA League,All Stages,All Match Types,trexx,KOI,viper,18,1.06,203,1.08,67%,125.9,0.72,0.11,0.17,0.17,18%,14%,1/7,13,13,12,2,3,3
Champions Tour 2023: EMEA League,All Stages,All Match Types,trexx,KOI,"skye, viper, raze, kayo, fade",453,1.11,226.4,1.1,74%,150.1,0.78,0.36,0.11,0.13,17%,14%,8/59,33,353,321,161,49,57
Champions Tour 2023: EMEA League,All Stages,All Match Types,AvovA,Team Heretics,astra,39,0.98,163,0.92,69%,112.3,0.56,0.38,0,0.1,33%,13%,1/8,16,22,24,15,0,4
Champions Tour 2023: EMEA League,All Stages,All Match Types,AvovA,Team Heretics,killjoy,67,0.77,181.7,0.86,64%,122,0.66,0.16,0.12,0.09,17%,8%,1/13,25,44,51,11,8,6
Champions Tour 2023: EMEA League,All Stages,All Match Types,AvovA,Team Heretics,omen,290,0.99,182,0.9,71%,114.3,0.64,0.42,0.04,0.09,27%,18%,7/39,22,185,206,121,13,26
Champions Tour 2023: EMEA League,All Stages,All Match Types,AvovA,Team Heretics,viper,50,0.79,149.3,0.74,64%,96.9,0.58,0.18,0.06,0.18,29%,,0/14,14,29,39,9,3,9
Champions Tour 2023: EMEA League,All Stages,All Match Types,AvovA,Team Heretics,"killjoy, astra, viper, omen",446,0.93,175.5,0.88,69%,113.4,0.63,0.35,0.05,0.1,25%,12%,9/74,25,280,320,156,24,45
Champions Tour 2023: EMEA League,All Stages,All Match Types,Boo,Team Heretics,breach,49,0.97,188,0.81,82%,120.9,0.61,0.55,0.08,0.06,27%,,0/6,17,30,37,27,4,3
Champions Tour 2023: EMEA League,All Stages,All Match Types,Boo,Team Heretics,brimstone,52,1.04,232,1.11,73%,159.5,0.81,0.31,0.06,0.08,23%,14%,1/7,25,42,38,16,3,4
Champions Tour 2023: EMEA League,All Stages,All Match Types,Boo,Team Heretics,cypher,36,0.89,138.5,0.87,78%,98.2,0.56,0.22,0.06,0.08,31%,25%,1/4,13,20,23,8,2,3
Champions Tour 2023: EMEA League,All Stages,All Match Types,Boo,Team Heretics,fade,46,0.99,167,0.94,74%,102.7,0.63,0.35,0.02,0.04,35%,,0/5,15,29,31,16,1,2
Champions Tour 2023: EMEA League,All Stages,All Match Types,Boo,Team Heretics,harbor,15,0.23,77,0.21,53%,46.9,0.2,0.27,0,0.07,21%,,0/3,3,3,14,4,0,1
Champions Tour 2023: EMEA League,All Stages,All Match Types,Boo,Team Heretics,killjoy,248,0.92,181.1,0.84,65%,129.3,0.6,0.16,0.08,0.06,28%,13%,5/40,21,150,179,39,20,15
Champions Tour 2023: EMEA League,All Stages,All Match Types,Boo,Team Heretics,"brimstone, harbor, killjoy, cypher, breach, fade",446,0.91,176.2,0.85,70%,123.9,0.61,0.25,0.07,0.06,28%,11%,7/65,25,274,322,110,30,28
Champions Tour 2023: EMEA League,All Stages,All Match Types,Mixwell,Team Heretics,breach,32,0.96,180,0.83,84%,106.5,0.63,0.63,0.13,0.03,17%,25%,1/4,20,20,24,20,4,1
Champions Tour 2023: EMEA League,All Stages,All Match Types,Mixwell,Team Heretics,harbor,50,0.58,139.3,0.54,56%,93.8,0.44,0.34,0,0.12,13%,50%,1/2,12,22,41,17,0,6
Champions Tour 2023: EMEA League,All Stages,All Match Types,Mixwell,Team Heretics,kayo,15,0.6,175,0.53,67%,114.9,0.53,0.33,0.13,0,21%,,0/4,8,8,15,5,2,0
Champions Tour 2023: EMEA League,All Stages,All Match Types,Mixwell,Team Heretics,killjoy,49,1,210,0.97,67%,134.3,0.76,0.12,0.12,0.06,23%,17%,1/6,21,37,38,6,6,3
Champions Tour 2023: EMEA League,All Stages,All Match Types,Mixwell,Team Heretics,raze,20,0.73,189,0.61,65%,139,0.55,0.25,0.1,0.2,6%,,0/2,11,11,18,5,2,4
Champions Tour 2023: EMEA League,All Stages,All Match Types,Mixwell,Team Heretics,sage,36,0.79,164,0.74,58%,104.6,0.56,0.28,0.06,0.08,23%,100%,1/1,11,20,27,10,2,3
Champions Tour 2023: EMEA League,All Stages,All Match Types,Mixwell,Team Heretics,skye,58,0.76,166.3,0.71,60%,104.8,0.55,0.21,0.02,0.16,24%,,0/5,11,32,45,12,1,9
Champions Tour 2023: EMEA League,All Stages,All Match Types,Mixwell,Team Heretics,viper,164,0.98,221.4,0.95,71%,156.3,0.72,0.41,0.1,0.1,22%,17%,3/18,30,118,124,68,17,17
Champions Tour 2023: EMEA League,All Stages,All Match Types,Mixwell,Team Heretics,yoru,22,1.02,251,1.06,77%,162.4,0.82,0.18,0.32,0.09,19%,,0/1,18,18,17,4,7,2
Champions Tour 2023: EMEA League,All Stages,All Match Types,Mixwell,Team Heretics,"skye, viper, raze, sage, harbor, killjoy, kayo, yoru, breach",446,0.85,191,0.82,67%,130.6,0.64,0.33,0.09,0.1,20%,16%,7/43,30,286,349,147,41,45
Champions Tour 2023: EMEA League,All Stages,All Match Types,weber,Team Heretics,breach,20,0.78,164,0.67,70%,107.2,0.5,0.4,0.05,0.1,36%,,0/1,10,10,15,8,1,2
Champions Tour 2023: EMEA League,All Stages,All Match Types,weber,Team Heretics,kayo,22,1.1,160,0.85,73%,124.5,0.5,0.86,0.05,0,32%,67%,2/3,11,11,13,19,1,0
Champions Tour 2023: EMEA League,All Stages,All Match Types,weber,Team Heretics,killjoy,24,0.95,146,0.87,71%,100.3,0.54,0.17,0.08,0.08,27%,,0/2,13,13,15,4,2,2
Champions Tour 2023: EMEA League,All Stages,All Match Types,weber,Team Heretics,skye,80,0.91,175,0.93,66%,120,0.68,0.3,0.01,0.05,40%,13%,2/15,24,54,58,24,1,4
Champions Tour 2023: EMEA League,All Stages,All Match Types,weber,Team Heretics,sova,23,0.51,92,0.39,65%,68.1,0.3,0.22,0.09,0.04,53%,,,7,7,18,5,2,1
Champions Tour 2023: EMEA League,All Stages,All Match Types,weber,Team Heretics,"skye, sova, killjoy, kayo, breach",169,0.87,155.3,0.8,68%,109.2,0.56,0.36,0.04,0.05,37%,19%,4/21,24,95,119,60,7,9
Champions Tour 2023: EMEA League,All Stages,All Match Types,zeek,Team Heretics,harbor,17,0.6,159,0.64,47%,99.5,0.53,0.12,0.18,0.18,26%,50%,1/2,9,9,14,2,3,3
Champions Tour 2023: EMEA League,All Stages,All Match Types,zeek,Team Heretics,raze,68,1.17,249.3,1.15,66%,162.3,0.81,0.21,0.12,0.1,18%,20%,1/5,24,55,48,14,8,7
Champions Tour 2023: EMEA League,All Stages,All Match Types,zeek,Team Heretics,sage,22,0.82,179,0.61,77%,127.4,0.5,0.41,0.14,0.14,22%,67%,2/3,11,11,18,9,3,3
Champions Tour 2023: EMEA League,All Stages,All Match Types,zeek,Team Heretics,skye,61,0.9,173,0.85,75%,113.5,0.66,0.41,0.1,0.1,27%,29%,2/7,18,40,47,25,6,6
Champions Tour 2023: EMEA League,All Stages,All Match Types,zeek,Team Heretics,sova,90,0.85,201,0.85,60%,134.1,0.68,0.2,0.09,0.1,29%,25%,4/16,19,61,72,18,8,9
Champions Tour 2023: EMEA League,All Stages,All Match Types,zeek,Team Heretics,viper,19,0.75,136,0.63,37%,89.7,0.53,0,0,0.05,44%,,0/4,10,10,16,0,0,1
Champions Tour 2023: EMEA League,All Stages,All Match Types,zeek,Team Heretics,"skye, viper, sova, raze, sage, harbor",277,0.9,196.1,0.87,64%,130.8,0.67,0.25,0.1,0.1,24%,27%,10/37,24,186,215,68,28,29
Champions Tour 2023: EMEA League,All Stages,All Match Types,keloqz,Team Heretics,jett,302,0.83,203,0.92,64%,130,0.73,0.1,0.15,0.18,24%,19%,6/32,23,220,240,29,45,55
Champions Tour 2023: EMEA League,All Stages,All Match Types,keloqz,Team Heretics,neon,125,0.8,172.4,0.79,66%,114.3,0.62,0.17,0.15,0.24,27%,33%,2/6,18,77,98,21,19,30
Champions Tour 2023: EMEA League,All Stages,All Match Types,keloqz,Team Heretics,"neon, jett",446,0.81,192.5,0.86,64%,124.1,0.69,0.13,0.15,0.21,25%,21%,8/38,23,306,355,56,67,92
Champions Tour 2023: EMEA League,All Stages,All Match Types,Redgar,Team Liquid,astra,24,0.87,217,0.86,71%,143.8,0.75,0.33,0.04,0.04,27%,,0/4,18,18,21,8,1,1
Champions Tour 2023: EMEA League,All Stages,All Match Types,Redgar,Team Liquid,brimstone,48,1.15,216,1.09,63%,132.3,0.79,0.31,0.13,0.1,42%,20%,1/5,20,38,35,15,6,5
Champions Tour 2023: EMEA League,All Stages,All Match Types,Redgar,Team Liquid,harbor,24,0.7,92,0.38,83%,62.3,0.25,0.33,0.04,0.13,41%,,0/2,6,6,16,8,1,3
Champions Tour 2023: EMEA League,All Stages,All Match Types,Redgar,Team Liquid,omen,669,0.94,172.1,0.88,70%,112,0.6,0.42,0.11,0.12,36%,13%,7/52,26,404,460,278,75,77
Champions Tour 2023: EMEA League,All Stages,All Match Types,Redgar,Team Liquid,"brimstone, harbor, astra, omen",786,0.94,173.9,0.88,70%,113,0.61,0.4,0.11,0.11,36%,13%,8/63,26,479,547,315,89,88
Champions Tour 2023: EMEA League,All Stages,All Match Types,Jamppi,Team Liquid,breach,109,1.01,202.4,0.99,72%,125.6,0.75,0.4,0.05,0.06,28%,28%,5/18,23,82,83,44,5,7
Champions Tour 2023: EMEA League,All Stages,All Match Types,Jamppi,Team Liquid,jett,21,1.25,290,1.4,62%,175.2,1,0.33,0.24,0.1,22%,,0/2,21,21,15,7,5,2
Champions Tour 2023: EMEA League,All Stages,All Match Types,Jamppi,Team Liquid,killjoy,106,0.87,161.5,0.9,63%,110.2,0.58,0.11,0.07,0.1,22%,8%,1/12,18,61,68,12,7,11
Champions Tour 2023: EMEA League,All Stages,All Match Types,Jamppi,Team Liquid,neon,24,0.41,150,0.52,58%,95,0.46,0.17,0.17,0.25,30%,,,11,11,21,4,4,6
Champions Tour 2023: EMEA League,All Stages,All Match Types,Jamppi,Team Liquid,skye,339,1.17,214.3,1.23,74%,133.8,0.77,0.39,0.09,0.06,26%,39%,9/23,26,261,213,132,29,19
Champions Tour 2023: EMEA League,All Stages,All Match Types,Jamppi,Team Liquid,sova,187,1.11,216.1,1.2,73%,148.3,0.76,0.26,0.06,0.07,27%,25%,7/28,21,142,118,48,12,13
Champions Tour 2023: EMEA League,All Stages,All Match Types,Jamppi,Team Liquid,"skye, jett, neon, sova, killjoy, breach",786,1.08,207.6,1.12,71%,132.9,0.74,0.31,0.08,0.07,26%,27%,22/83,26,578,518,247,62,58
Champions Tour 2023: EMEA League,All Stages,All Match Types,Sayf,Team Liquid,breach,24,0.7,96,0.5,71%,58,0.29,0.58,0,0.13,18%,,0/1,7,7,14,14,0,3
Champions Tour 2023: EMEA League,All Stages,All Match Types,Sayf,Team Liquid,jett,326,1.31,256.6,1.56,76%,160,0.94,0.18,0.18,0.13,26%,24%,8/34,28,308,198,58,59,42
Champions Tour 2023: EMEA League,All Stages,All Match Types,Sayf,Team Liquid,killjoy,21,1.06,182,1.18,86%,135,0.62,0.19,0.1,0,20%,50%,1/2,13,13,11,4,2,0
Champions Tour 2023: EMEA League,All Stages,All Match Types,Sayf,Team Liquid,neon,65,1.09,239,1.19,75%,149.8,0.86,0.23,0.28,0.14,35%,,0/5,28,56,47,15,18,9
Champions Tour 2023: EMEA League,All Stages,All Match Types,Sayf,Team Liquid,raze,302,1.21,258.8,1.23,72%,165.2,0.86,0.24,0.18,0.15,20%,20%,6/30,29,259,210,73,54,45
Champions Tour 2023: EMEA League,All Stages,All Match Types,Sayf,Team Liquid,"jett, neon, raze, killjoy, breach",738,1.23,249,1.34,74%,157.2,0.87,0.22,0.18,0.13,24%,21%,15/72,29,643,480,164,133,99
Champions Tour 2023: EMEA League,All Stages,All Match Types,soulcas,Team Liquid,breach,38,0.61,112.5,0.48,55%,67.9,0.37,0.29,0.05,0.08,40%,20%,1/5,8,14,29,11,2,3
Champions Tour 2023: EMEA League,All Stages,All Match Types,soulcas,Team Liquid,fade,283,0.88,154.8,0.84,70%,104.7,0.57,0.29,0.05,0.06,36%,,0/35,23,161,192,81,14,16
Champions Tour 2023: EMEA League,All Stages,All Match Types,soulcas,Team Liquid,kayo,238,0.96,170.5,0.88,78%,110.9,0.58,0.53,0.06,0.07,32%,14%,4/28,20,138,156,126,14,16
Champions Tour 2023: EMEA League,All Stages,All Match Types,soulcas,Team Liquid,omen,21,1.21,190,1.25,90%,107.1,0.71,0.86,0.05,0,45%,,0/5,15,15,12,18,1,0
Champions Tour 2023: EMEA League,All Stages,All Match Types,soulcas,Team Liquid,sage,96,1.04,184.2,1.02,78%,118.1,0.66,0.38,0.08,0.07,36%,,0/10,16,63,62,36,8,7
Champions Tour 2023: EMEA League,All Stages,All Match Types,soulcas,Team Liquid,skye,43,1.34,238.5,1.58,86%,154.4,0.88,0.44,0.07,0.02,39%,25%,1/4,19,38,24,19,3,1
Champions Tour 2023: EMEA League,All Stages,All Match Types,soulcas,Team Liquid,viper,67,1.18,172.3,1.08,73%,113.2,0.6,0.27,0.07,0.1,26%,33%,2/6,22,40,37,18,5,7
Champions Tour 2023: EMEA League,All Stages,All Match Types,soulcas,Team Liquid,"skye, viper, omen, sage, kayo, breach, fade",786,0.97,168.4,0.92,74%,109.9,0.6,0.39,0.06,0.06,34%,9%,8/93,23,469,512,309,47,50
Champions Tour 2023: EMEA League,All Stages,All Match Types,nAts,Team Liquid,cypher,398,1.1,212.7,1.2,72%,137.5,0.77,0.29,0.11,0.09,29%,7%,2/29,33,308,257,116,44,35
Champions Tour 2023: EMEA League,All Stages,All Match Types,nAts,Team Liquid,fade,21,1.48,290,2.27,81%,201.9,1.19,0.29,0.05,0.1,27%,100%,2/2,25,25,11,6,1,2
Champions Tour 2023: EMEA League,All Stages,All Match Types,nAts,Team Liquid,killjoy,19,0.98,187,1.15,58%,112.4,0.79,0.11,0.05,0.11,21%,50%,1/2,15,15,13,2,1,2
Champions Tour 2023: EMEA League,All Stages,All Match Types,nAts,Team Liquid,viper,324,1.07,226.2,1.18,73%,148.2,0.78,0.26,0.07,0.09,27%,15%,7/47,26,252,214,85,24,29
Champions Tour 2023: EMEA League,All Stages,All Match Types,nAts,Team Liquid,"cypher, killjoy, viper, fade",786,1.11,222.4,1.23,73%,145.7,0.8,0.27,0.09,0.09,28%,14%,12/83,33,630,511,210,73,71
Champions Tour 2023: EMEA League,All Stages,All Match Types,Harmii,Team Liquid,raze,48,0.84,175,0.91,67%,107.7,0.67,0.15,0.1,0.23,18%,,0/5,16,32,35,7,5,11
Champions Tour 2023: EMEA League,All Stages,All Match Types,xms,Karmine Corp,astra,54,0.83,135.7,0.66,72%,100.6,0.46,0.43,0.02,0.04,33%,11%,1/9,15,25,38,23,1,2
Champions Tour 2023: EMEA League,All Stages,All Match Types,xms,Karmine Corp,harbor,54,0.94,194,1.03,67%,140.3,0.72,0.24,0.09,0.11,30%,,0/8,30,39,38,13,5,6
Champions Tour 2023: EMEA League,All Stages,All Match Types,xms,Karmine Corp,killjoy,234,0.89,174.5,0.92,71%,127.5,0.6,0.15,0.04,0.04,27%,16%,6/38,26,140,152,36,10,9
Champions Tour 2023: EMEA League,All Stages,All Match Types,xms,Karmine Corp,omen,51,0.73,179.3,0.72,55%,110.6,0.61,0.25,0.06,0.14,30%,,0/8,12,31,43,13,3,7
Champions Tour 2023: EMEA League,All Stages,All Match Types,xms,Karmine Corp,"killjoy, harbor, astra, omen",393,0.86,171.2,0.87,68%,123.4,0.6,0.22,0.05,0.06,28%,11%,7/63,30,235,271,85,19,24
Champions Tour 2023: EMEA League,All Stages,All Match Types,Newzera,Karmine Corp,breach,72,0.76,150.5,0.78,71%,99.6,0.53,0.28,0.06,0.04,47%,6%,1/16,16,38,49,20,4,3
Champions Tour 2023: EMEA League,All Stages,All Match Types,Newzera,Karmine Corp,skye,34,0.52,67.5,0.25,44%,47.7,0.18,0.29,0.03,0.15,19%,,0/7,3,6,24,10,1,5
Champions Tour 2023: EMEA League,All Stages,All Match Types,Newzera,Karmine Corp,viper,54,0.78,130.5,0.87,70%,106.9,0.5,0.26,0.02,0.09,43%,,0/5,20,27,31,14,1,5
Champions Tour 2023: EMEA League,All Stages,All Match Types,Newzera,Karmine Corp,"viper, skye, breach",160,0.7,124.8,0.68,65%,91.1,0.44,0.28,0.04,0.08,40%,4%,1/28,20,71,104,44,6,13
Champions Tour 2023: EMEA League,All Stages,All Match Types,ZE1SH,Karmine Corp,breach,60,0.61,90.7,0.38,58%,62,0.28,0.48,0.03,0.08,26%,40%,2/5,6,17,45,29,2,5
Champions Tour 2023: EMEA League,All Stages,All Match Types,ZE1SH,Karmine Corp,kayo,81,0.68,127.3,0.56,63%,80.4,0.43,0.37,0.04,0.12,25%,7%,1/15,16,35,62,30,3,10
Champions Tour 2023: EMEA League,All Stages,All Match Types,ZE1SH,Karmine Corp,viper,92,0.68,158.8,0.79,65%,98.8,0.57,0.15,0.07,0.11,31%,,0/8,15,52,66,14,6,10
Champions Tour 2023: EMEA League,All Stages,All Match Types,ZE1SH,Karmine Corp,"viper, breach, kayo",233,0.66,128.7,0.6,63%,82.9,0.45,0.31,0.05,0.11,28%,11%,3/28,16,104,173,73,11,25
Champions Tour 2023: EMEA League,All Stages,All Match Types,Nivera,Karmine Corp,cypher,72,0.91,179.5,0.96,68%,116.6,0.68,0.18,0.15,0.14,47%,25%,1/4,21,49,51,13,11,10
Champions Tour 2023: EMEA League,All Stages,All Match Types,Nivera,Karmine Corp,killjoy,87,0.82,189.3,0.98,62%,137.4,0.69,0.08,0.13,0.08,24%,21%,3/14,29,60,61,7,11,7
Champions Tour 2023: EMEA League,All Stages,All Match Types,Nivera,Karmine Corp,omen,234,1.01,206,1.07,73%,127.5,0.74,0.3,0.17,0.1,28%,8%,2/24,26,174,163,71,39,23
Champions Tour 2023: EMEA League,All Stages,All Match Types,Nivera,Karmine Corp,"cypher, killjoy, omen",393,0.95,196.9,1.03,69%,127.7,0.72,0.23,0.16,0.1,30%,14%,6/42,29,283,275,91,61,40
Champions Tour 2023: EMEA League,All Stages,All Match Types,sh1n,Karmine Corp,fade,81,0.9,150.8,0.81,65%,96.6,0.52,0.33,0.05,0.07,27%,17%,1/6,15,42,52,27,4,6
Champions Tour 2023: EMEA League,All Stages,All Match Types,sh1n,Karmine Corp,gekko,108,0.77,169.8,0.75,65%,115.5,0.58,0.2,0.06,0.08,32%,13%,1/8,20,63,84,22,7,9
Champions Tour 2023: EMEA League,All Stages,All Match Types,sh1n,Karmine Corp,skye,92,0.95,167.8,0.98,70%,96.5,0.61,0.29,0.08,0.05,22%,14%,1/7,17,56,57,27,7,5
Champions Tour 2023: EMEA League,All Stages,All Match Types,sh1n,Karmine Corp,sova,78,0.87,178.5,0.86,71%,123.1,0.65,0.26,0.03,0.04,39%,25%,3/12,16,51,59,20,2,3
Champions Tour 2023: EMEA League,All Stages,All Match Types,sh1n,Karmine Corp,viper,34,0.67,147,0.61,53%,94.4,0.5,0.15,0.03,0.18,29%,,0/3,14,17,28,5,1,6
