Tournament,Stage,Match Type,Player,Team,Agents,Rounds Played,Rating,Average Combat Score,Kills:Deaths,"Kill, Assist, Trade, Survive %",Average Damage Per Round,Kills Per Round,Assists Per Round,First Kills Per Round,First Deaths Per Round,Headshot %,Clutch Success %,Clutches (won/played),Maximum Kills in a Single Map,Kills,Deaths,Assists,First Kills,First Deaths
Champions Tour 2023: Americas Last Chance Qualifier,Main Event,Upper Semifinals,nzr,Leviatán,raze,18,1.04,197,1,78%,131.2,0.67,0.17,0.11,0.11,17%,,0/2,12,12,12,3,2,2
Champions Tour 2023: Americas Last Chance Qualifier,Main Event,Upper Semifinals,nzr,Leviatán,"raze, fade",38,0.85,152.5,0.69,76%,106.8,0.47,0.16,0.05,0.11,17%,,0/7,12,18,26,6,2,4
Champions Tour 2023: Americas Last Chance Qualifier,Main Event,Upper Semifinals,Tacolilla,Leviatán,jett,18,0.2,77,0.31,33%,50.2,0.28,0,0.06,0.39,25%,,0/3,5,5,16,0,1,7
Champions Tour 2023: Americas Last Chance Qualifier,Main Event,Upper Semifinals,Tacolilla,Leviatán,raze,20,0.58,140,0.53,55%,96.8,0.45,0.1,0.15,0.05,17%,,0/1,9,9,17,2,3,1
Champions Tour 2023: Americas Last Chance Qualifier,Main Event,Upper Semifinals,Tacolilla,Leviatán,"jett, raze",38,0.39,108.5,0.42,45%,74.7,0.37,0.05,0.11,0.21,19%,,0/4,9,14,33,2,4,8
Champions Tour 2023: Americas Last Chance Qualifier,Main Event,Upper Semifinals,Shyy,Leviatán,killjoy,20,1.27,246,1.21,70%,187.8,0.85,0.15,0.05,0.1,38%,33%,1/3,17,17,14,3,1,2
Champions Tour 2023: Americas Last Chance Qualifier,Main Event,Upper Semifinals,Shyy,Leviatán,skye,18,0.66,138,0.47,61%,93.2,0.39,0.39,0.06,0.06,19%,,0/2,7,7,15,7,1,1
Champions Tour 2023: Americas Last Chance Qualifier,Main Event,Upper Semifinals,Shyy,Leviatán,"skye, killjoy",38,0.96,192,0.83,66%,143,0.63,0.26,0.05,0.08,30%,20%,1/5,17,24,29,10,2,3
Champions Tour 2023: Americas Last Chance Qualifier,Main Event,Upper Semifinals,kiNgg,Leviatán,viper,38,1.23,291.5,1.41,71%,189.3,1,0.21,0.05,0.13,37%,20%,1/5,20,38,27,8,2,5
Champions Tour 2023: Americas Last Chance Qualifier,Main Event,Upper Semifinals,Marved,Sentinels,astra,42,0.57,117.5,0.49,64%,82.9,0.4,0.31,0.05,0.24,24%,,0/3,10,17,35,13,2,10
Champions Tour 2023: Americas Last Chance Qualifier,Main Event,Upper Semifinals,Marved,Sentinels,brimstone,18,1.36,270,1.55,89%,179.7,0.94,0.44,0.39,0.06,27%,,0/1,17,17,11,8,7,1
Champions Tour 2023: Americas Last Chance Qualifier,Main Event,Upper Semifinals,Marved,Sentinels,"brimstone, astra",60,0.83,168.3,0.74,72%,112,0.57,0.35,0.15,0.18,25%,,0/4,17,34,46,21,9,11
Champions Tour 2023: Americas Last Chance Qualifier,Main Event,Upper Semifinals,Sacy,Sentinels,breach,18,1.5,281,2,94%,178,1.11,0.67,0.06,0,38%,,0/2,20,20,10,12,1,0
Champions Tour 2023: Americas Last Chance Qualifier,Main Event,Upper Semifinals,Sacy,Sentinels,skye,21,0.76,131,0.71,71%,72.7,0.48,0.52,0.05,0.05,14%,,0/5,10,10,14,11,1,1
Champions Tour 2023: Americas Last Chance Qualifier,Main Event,Upper Semifinals,Sacy,Sentinels,"skye, breach",60,1.08,217.7,1.2,73%,135.2,0.8,0.42,0.07,0.03,28%,,0/10,20,48,40,25,4,2
Champions Tour 2023: Americas Last Chance Qualifier,Main Event,Upper Semifinals,pANcada,Sentinels,cypher,18,1.43,185,2.5,83%,128.6,0.83,0.22,0.11,0.06,37%,,0/1,15,15,6,4,2,1
Champions Tour 2023: Americas Last Chance Qualifier,Main Event,Upper Semifinals,pANcada,Sentinels,killjoy,21,0.75,115,0.54,71%,90.7,0.33,0.14,0,0.05,21%,,0/1,7,7,13,3,0,1
Champions Tour 2023: Americas Last Chance Qualifier,Main Event,Upper Semifinals,pANcada,Sentinels,viper,21,1.13,232,1.21,67%,157.4,0.81,0.14,0,0.05,28%,,0/3,17,17,14,3,0,1
Champions Tour 2023: Americas Last Chance Qualifier,Main Event,Upper Semifinals,pANcada,Sentinels,"cypher, killjoy, viper",60,1.1,177.3,1.18,73%,125.4,0.65,0.17,0.03,0.05,27%,,0/5,17,39,33,10,2,3
Champions Tour 2023: Americas Last Chance Qualifier,Main Event,Upper Semifinals,zekken,Sentinels,jett,21,1.27,274,1.69,71%,166.3,1.05,0.05,0.19,0.05,36%,40%,2/5,22,22,13,1,4,1
Champions Tour 2023: Americas Last Chance Qualifier,Main Event,Upper Semifinals,zekken,Sentinels,raze,39,1.08,251,1.07,72%,182.2,0.79,0.44,0.1,0.15,15%,33%,1/3,20,31,29,17,4,6
Champions Tour 2023: Americas Last Chance Qualifier,Main Event,Upper Semifinals,zekken,Sentinels,"jett, raze",60,1.14,258.7,1.26,72%,176.6,0.88,0.3,0.13,0.12,19%,38%,3/8,22,53,42,18,8,7
Champions Tour 2023: Americas Last Chance Qualifier,Main Event,Upper Semifinals,TenZ,Sentinels,jett,21,0.81,198,0.82,71%,119.1,0.67,0.29,0.33,0.14,23%,,0/1,14,14,17,6,7,3
Champions Tour 2023: Americas Last Chance Qualifier,Main Event,Upper Final,Melser,KRÜ Esports,harbor,17,1.25,183,1.22,71%,120.6,0.65,0.65,0.06,0.12,24%,,,11,11,9,11,1,2
Champions Tour 2023: Americas Last Chance Qualifier,Main Event,Upper Final,Melser,KRÜ Esports,omen,17,0.87,215,0.8,71%,137.3,0.71,0.29,0.12,0,26%,,0/5,12,12,15,5,2,0
Champions Tour 2023: Americas Last Chance Qualifier,Main Event,Upper Final,Melser,KRÜ Esports,"harbor, omen",53,1.11,211,1.11,79%,135.8,0.74,0.47,0.11,0.09,28%,,0/5,16,39,35,25,6,5
Champions Tour 2023: Americas Last Chance Qualifier,Main Event,Upper Final,keznit,KRÜ Esports,jett,34,0.85,193.5,0.76,74%,131.7,0.65,0.47,0.15,0.29,26%,,,15,22,29,16,5,10
Champions Tour 2023: Americas Last Chance Qualifier,Main Event,Upper Final,DaveeyS,KRÜ Esports,killjoy,17,1.46,195,2.17,82%,149.4,0.76,0.18,0.06,0,26%,,,13,13,6,3,1,0
Champions Tour 2023: Americas Last Chance Qualifier,Main Event,Upper Final,NagZ,KRÜ Esports,killjoy,36,0.86,152.5,0.83,69%,110.2,0.53,0.14,0.08,0.03,24%,33%,2/6,11,19,23,5,3,1
Champions Tour 2023: Americas Last Chance Qualifier,Main Event,Upper Final,NagZ,KRÜ Esports,viper,17,1.96,279,4.75,100%,176.9,1.12,0.41,0.12,0,27%,,0/3,19,19,4,7,2,0
Champions Tour 2023: Americas Last Chance Qualifier,Main Event,Upper Final,NagZ,KRÜ Esports,"killjoy, viper",53,1.23,194.7,1.41,79%,131.6,0.72,0.23,0.09,0.02,25%,22%,2/9,19,38,27,12,5,1
Champions Tour 2023: Americas Last Chance Qualifier,Main Event,Upper Final,Klaus,KRÜ Esports,skye,36,1.28,263,1.57,83%,156.1,1,0.42,0.19,0.03,21%,,0/2,19,36,23,15,7,1
Champions Tour 2023: Americas Last Chance Qualifier,Main Event,Upper Final,Zellsis,Cloud9,harbor,17,0.64,137,0.54,59%,102.1,0.41,0.12,0,0.18,13%,,0/3,7,7,13,2,0,3
Champions Tour 2023: Americas Last Chance Qualifier,Main Event,Upper Final,Zellsis,Cloud9,killjoy,36,0.92,177.5,0.84,72%,118.2,0.58,0.22,0.11,0.06,16%,25%,1/4,11,21,25,8,4,2
Champions Tour 2023: Americas Last Chance Qualifier,Main Event,Upper Final,Zellsis,Cloud9,"harbor, killjoy",53,0.83,164,0.74,68%,113,0.53,0.19,0.08,0.09,15%,14%,1/7,11,28,38,10,4,5
Champions Tour 2023: Americas Last Chance Qualifier,Main Event,Upper Final,leaf,Cloud9,jett,53,1.1,251.3,1.14,72%,174.3,0.91,0.23,0.17,0.21,29%,40%,2/5,20,48,42,12,9,11
Champions Tour 2023: Americas Last Chance Qualifier,Main Event,Upper Final,runi,Cloud9,killjoy,17,0.56,174,0.6,65%,112.2,0.53,0.12,0.12,0.12,28%,,0/4,9,9,15,2,2,2
Champions Tour 2023: Americas Last Chance Qualifier,Main Event,Upper Final,runi,Cloud9,viper,36,1.1,174,1.25,81%,121.8,0.69,0.31,0.06,0,30%,13%,1/8,14,25,20,11,2,0
Champions Tour 2023: Americas Last Chance Qualifier,Main Event,Upper Final,runi,Cloud9,"killjoy, viper",53,0.92,174,0.97,75%,118.7,0.64,0.25,0.08,0.04,29%,8%,1/12,14,34,35,13,4,2
Champions Tour 2023: Americas Last Chance Qualifier,Main Event,Upper Final,jakee,Cloud9,omen,36,0.99,214.5,1.04,78%,131.8,0.78,0.44,0.11,0.11,35%,,0/1,15,28,27,16,4,4
Champions Tour 2023: Americas Last Chance Qualifier,Main Event,Upper Final,jakee,Cloud9,viper,17,0.71,167,0.6,65%,110.9,0.53,0.24,0.06,0.12,32%,,0/4,9,9,15,4,1,2
Champions Tour 2023: Americas Last Chance Qualifier,Main Event,Upper Final,jakee,Cloud9,"omen, viper",53,0.9,198.7,0.88,74%,125.1,0.7,0.38,0.09,0.11,34%,,0/5,15,37,42,20,5,6
Champions Tour 2023: Americas Last Chance Qualifier,Main Event,Upper Final,Xeppaa,Cloud9,skye,53,0.72,158,0.6,60%,100.2,0.49,0.43,0.02,0.11,20%,17%,1/6,15,26,43,23,1,6
Champions Tour 2023: Americas Last Chance Qualifier,Main Event,Grand Final,Melser,KRÜ Esports,astra,18,1.48,201,3,94%,125.9,0.83,0.22,0.06,0,24%,20%,1/5,15,15,5,4,1,0
Champions Tour 2023: Americas Last Chance Qualifier,Main Event,Grand Final,Melser,KRÜ Esports,harbor,21,1.09,239,1.36,62%,152.3,0.9,0.05,0.1,0.05,38%,,0/3,19,19,14,1,2,1
Champions Tour 2023: Americas Last Chance Qualifier,Main Event,Grand Final,Melser,KRÜ Esports,omen,42,1.06,158.5,1,69%,109.4,0.62,0.38,0.05,0.12,28%,25%,1/4,13,26,26,16,2,5
Champions Tour 2023: Americas Last Chance Qualifier,Main Event,Grand Final,Melser,KRÜ Esports,"harbor, astra, omen",81,1.17,189.3,1.33,73%,124.2,0.74,0.26,0.06,0.07,30%,17%,2/12,19,60,45,21,5,6
Champions Tour 2023: Americas Last Chance Qualifier,Main Event,Grand Final,keznit,KRÜ Esports,jett,40,1.2,274.5,1.23,80%,169.2,0.93,0.28,0.2,0.08,20%,17%,1/6,20,37,30,11,8,3
Champions Tour 2023: Americas Last Chance Qualifier,Main Event,Grand Final,keznit,KRÜ Esports,raze,41,1.15,249.5,1.24,83%,165.1,0.88,0.24,0.24,0.12,14%,,0/2,21,36,29,10,10,5
Champions Tour 2023: Americas Last Chance Qualifier,Main Event,Grand Final,keznit,KRÜ Esports,"jett, raze",81,1.18,262,1.24,81%,167.1,0.9,0.26,0.22,0.1,16%,13%,1/8,21,73,59,21,18,8
Champions Tour 2023: Americas Last Chance Qualifier,Main Event,Grand Final,DaveeyS,KRÜ Esports,kayo,19,1.15,181,1.09,68%,108.9,0.63,0.42,0.16,0.21,27%,50%,1/2,12,12,11,8,3,4
Champions Tour 2023: Americas Last Chance Qualifier,Main Event,Grand Final,DaveeyS,KRÜ Esports,killjoy,44,1,178,1.07,70%,120.9,0.68,0.05,0.05,0.11,28%,13%,1/8,17,30,28,2,2,5
Champions Tour 2023: Americas Last Chance Qualifier,Main Event,Grand Final,DaveeyS,KRÜ Esports,"killjoy, kayo",81,1.06,169.3,1.13,73%,113.2,0.64,0.14,0.09,0.12,29%,20%,2/10,17,52,46,11,7,10
Champions Tour 2023: Americas Last Chance Qualifier,Main Event,Grand Final,NagZ,KRÜ Esports,killjoy,19,0.87,153,0.85,79%,107.9,0.58,0.26,0,0,17%,,0/1,11,11,13,5,0,0
Champions Tour 2023: Americas Last Chance Qualifier,Main Event,Grand Final,NagZ,KRÜ Esports,viper,62,0.97,149.7,0.84,73%,104,0.52,0.26,0.06,0.08,32%,20%,1/5,14,32,38,16,4,5
Champions Tour 2023: Americas Last Chance Qualifier,Main Event,Grand Final,NagZ,KRÜ Esports,"killjoy, viper",81,0.95,150.5,0.84,74%,104.9,0.53,0.26,0.05,0.06,27%,17%,1/6,14,43,51,21,4,5
Champions Tour 2023: Americas Last Chance Qualifier,Main Event,Grand Final,Klaus,KRÜ Esports,skye,62,1.01,189.3,0.9,76%,120.7,0.61,0.56,0.08,0.11,17%,,0/3,15,38,42,35,5,7
Champions Tour 2023: Americas Last Chance Qualifier,Main Event,Grand Final,Klaus,KRÜ Esports,sova,19,1.3,262,1.73,79%,155.5,1,0.32,0.26,0.05,22%,100%,1/1,19,19,11,6,5,1
Champions Tour 2023: Americas Last Chance Qualifier,Main Event,Grand Final,Klaus,KRÜ Esports,"skye, sova",81,1.08,207.5,1.08,77%,128.9,0.7,0.51,0.12,0.1,18%,25%,1/4,19,57,53,41,10,8
Champions Tour 2023: Americas Last Chance Qualifier,Main Event,Grand Final,Mazino,Leviatán,astra,18,0.56,115,0.54,56%,66.7,0.39,0.33,0,0.11,12%,,0/2,7,7,13,6,0,2
Champions Tour 2023: Americas Last Chance Qualifier,Main Event,Grand Final,Mazino,Leviatán,harbor,21,1.16,253,1.12,81%,159,0.9,0.52,0.05,0.05,28%,,,19,19,17,11,1,1
Champions Tour 2023: Americas Last Chance Qualifier,Main Event,Grand Final,Mazino,Leviatán,omen,42,0.76,174.5,0.67,67%,116.6,0.57,0.38,0.12,0.12,18%,,0/1,15,24,36,16,5,5
Champions Tour 2023: Americas Last Chance Qualifier,Main Event,Grand Final,Mazino,Leviatán,"harbor, astra, omen",81,0.81,179.3,0.76,68%,116.5,0.62,0.41,0.07,0.1,20%,,0/3,19,50,66,33,6,8
Champions Tour 2023: Americas Last Chance Qualifier,Main Event,Grand Final,Tacolilla,Leviatán,jett,58,0.85,183.3,0.82,59%,115.7,0.64,0.16,0.22,0.22,17%,33%,1/3,19,37,45,9,13,13
Champions Tour 2023: Americas Last Chance Qualifier,Main Event,Grand Final,Tacolilla,Leviatán,raze,23,0.94,201,1.07,87%,133.4,0.65,0.17,0.17,0.17,13%,,0/1,15,15,14,4,4,4
