Tournament,Stage,Match Type,Match Name,Map,Team,Player,Agent,2k,3k,4k,5k,1v1,1v2,1v3,1v4,1v5,Econ,Spike Plants,Spike Defuse
Valorant Champions 2023,Group Stage,Opening (B),Evil Geniuses vs FunPlus Phoenix,Ascent,FunPlus Phoenix,Lysoar,killjoy,2,,1,,,,,,,58,2,0
Valorant Champions 2023,Group Stage,Opening (B),Evil Geniuses vs FunPlus Phoenix,Pearl,Evil Geniuses,Boostio,killjoy,1,,,,,1,,,,25,0,1
Valorant Champions 2023,Group Stage,Opening (B),Evil Geniuses vs FunPlus Phoenix,Pearl,Evil Geniuses,C0M,sova,4,2,,,,,,,,49,0,0
Valorant Champions 2023,Group Stage,Opening (B),Evil Geniuses vs FunPlus Phoenix,Pearl,Evil Geniuses,jawgemo,astra,2,1,2,,1,,,,,67,1,0
Valorant Champions 2023,Group Stage,Opening (B),Evil Geniuses vs FunPlus Phoenix,Pearl,Evil Geniuses,Ethan,kayo,2,,,,,,,,,46,3,0
Valorant Champions 2023,Group Stage,Opening (B),Evil Geniuses vs FunPlus Phoenix,Pearl,Evil Geniuses,Demon1,jett,4,4,,,,1,,,,67,1,1
Valorant Champions 2023,Group Stage,Opening (B),Evil Geniuses vs FunPlus Phoenix,Pearl,FunPlus Phoenix,nizhaoTZH,astra,3,2,,,,,1,,,65,1,0
Valorant Champions 2023,Group Stage,Opening (B),Evil Geniuses vs FunPlus Phoenix,Pearl,FunPlus Phoenix,BerLIN,omen,,1,,,,,,,,37,1,1
Valorant Champions 2023,Group Stage,Opening (B),Evil Geniuses vs FunPlus Phoenix,Pearl,FunPlus Phoenix,Yuicaw,jett,3,,,,,,,,,52,0,0
Valorant Champions 2023,Group Stage,Opening (B),Evil Geniuses vs FunPlus Phoenix,Pearl,FunPlus Phoenix,AAAAY,skye,3,1,,,,,,,,54,3,0
Valorant Champions 2023,Group Stage,Opening (B),Evil Geniuses vs FunPlus Phoenix,Pearl,FunPlus Phoenix,Lysoar,killjoy,5,,,,,,,,,58,0,0
Valorant Champions 2023,Group Stage,Winner's (D),Natus Vincere vs DRX,All Maps,Natus Vincere,Zyppan,raze,13,1,,,1,,,,,54,6,1
Valorant Champions 2023,Group Stage,Winner's (D),Natus Vincere vs DRX,All Maps,Natus Vincere,ANGE1,brimstone,8,2,,,1,1,,,,35,4,1
Valorant Champions 2023,Group Stage,Winner's (D),Natus Vincere vs DRX,All Maps,Natus Vincere,Shao,skye,13,2,,,,1,1,,,54,11,5
Valorant Champions 2023,Group Stage,Winner's (D),Natus Vincere vs DRX,All Maps,Natus Vincere,cNed,sage,9,5,,,,1,,,,58,2,2
Valorant Champions 2023,Group Stage,Winner's (D),Natus Vincere vs DRX,All Maps,Natus Vincere,SUYGETSU,viper,11,2,,,1,,,,,63,3,2
Valorant Champions 2023,Group Stage,Winner's (D),Natus Vincere vs DRX,All Maps,DRX,stax,skye,13,2,,,,,,,,41,9,2
Valorant Champions 2023,Group Stage,Winner's (D),Natus Vincere vs DRX,All Maps,DRX,Rb,yoru,9,4,,,2,1,,,,45,4,3
Valorant Champions 2023,Group Stage,Winner's (D),Natus Vincere vs DRX,All Maps,DRX,Zest,viper,9,3,1,,1,,,,,42,3,1
Valorant Champions 2023,Group Stage,Winner's (D),Natus Vincere vs DRX,All Maps,DRX,BuZz,raze,13,3,1,,,,,,,50,0,1
Valorant Champions 2023,Group Stage,Winner's (D),Natus Vincere vs DRX,All Maps,DRX,MaKo,brimstone,5,2,,,1,,,,,42,13,2
Valorant Champions 2023,Group Stage,Winner's (D),Natus Vincere vs DRX,Bind,Natus Vincere,Zyppan,raze,7,1,,,1,,,,,50,2,0
Valorant Champions 2023,Group Stage,Winner's (D),Natus Vincere vs DRX,Bind,Natus Vincere,ANGE1,brimstone,2,,,,1,,,,,32,2,1
Valorant Champions 2023,Group Stage,Winner's (D),Natus Vincere vs DRX,Bind,Natus Vincere,Shao,skye,6,1,,,,1,1,,,57,2,3
Valorant Champions 2023,Group Stage,Winner's (D),Natus Vincere vs DRX,Bind,Natus Vincere,cNed,sage,3,1,,,,1,,,,45,2,1
Valorant Champions 2023,Group Stage,Winner's (D),Natus Vincere vs DRX,Bind,Natus Vincere,SUYGETSU,viper,4,,,,,,,,,40,1,1
Valorant Champions 2023,Group Stage,Winner's (D),Natus Vincere vs DRX,Bind,DRX,stax,skye,6,2,,,,,,,,56,3,0
Valorant Champions 2023,Group Stage,Winner's (D),Natus Vincere vs DRX,Bind,DRX,Rb,yoru,5,2,,,,,,,,48,3,1
Valorant Champions 2023,Group Stage,Winner's (D),Natus Vincere vs DRX,Bind,DRX,Zest,viper,6,2,,,1,,,,,50,2,1
Valorant Champions 2023,Group Stage,Winner's (D),Natus Vincere vs DRX,Bind,DRX,BuZz,raze,2,1,,,,,,,,30,0,1
Valorant Champions 2023,Group Stage,Winner's (D),Natus Vincere vs DRX,Bind,DRX,MaKo,brimstone,2,1,,,1,,,,,56,3,2
Valorant Champions 2023,Group Stage,Winner's (D),Natus Vincere vs DRX,Split,Natus Vincere,Zyppan,raze,4,,,,,,,,,72,0,0
Valorant Champions 2023,Group Stage,Winner's (D),Natus Vincere vs DRX,Split,Natus Vincere,ANGE1,omen,2,1,,,,1,,,,33,0,0
Valorant Champions 2023,Group Stage,Winner's (D),Natus Vincere vs DRX,Split,Natus Vincere,Shao,skye,2,,,,,,,,,46,7,1
Valorant Champions 2023,Group Stage,Winner's (D),Natus Vincere vs DRX,Split,Natus Vincere,cNed,jett,3,4,,,,,,,,93,0,1
Valorant Champions 2023,Group Stage,Winner's (D),Natus Vincere vs DRX,Split,Natus Vincere,SUYGETSU,cypher,2,1,,,,,,,,68,0,0
Valorant Champions 2023,Group Stage,Winner's (D),Natus Vincere vs DRX,Split,DRX,stax,skye,2,,,,,,,,,36,6,0
Valorant Champions 2023,Group Stage,Winner's (D),Natus Vincere vs DRX,Split,DRX,Rb,killjoy,1,,,,,,,,,30,0,0
Valorant Champions 2023,Group Stage,Winner's (D),Natus Vincere vs DRX,Split,DRX,Zest,viper,1,1,,,,,,,,43,1,0
Valorant Champions 2023,Group Stage,Winner's (D),Natus Vincere vs DRX,Split,DRX,BuZz,raze,5,1,,,,,,,,65,0,0
Valorant Champions 2023,Group Stage,Winner's (D),Natus Vincere vs DRX,Split,DRX,MaKo,omen,1,,,,,,,,,35,1,0
Valorant Champions 2023,Group Stage,Winner's (D),Natus Vincere vs DRX,Lotus,Natus Vincere,Zyppan,breach,2,,,,,,,,,39,4,1
Valorant Champions 2023,Group Stage,Winner's (D),Natus Vincere vs DRX,Lotus,Natus Vincere,ANGE1,brimstone,4,1,,,,,,,,41,2,0
Valorant Champions 2023,Group Stage,Winner's (D),Natus Vincere vs DRX,Lotus,Natus Vincere,Shao,sova,5,1,,,,,,,,58,2,1
Valorant Champions 2023,Group Stage,Winner's (D),Natus Vincere vs DRX,Lotus,Natus Vincere,cNed,raze,3,,,,,,,,,35,0,0
Valorant Champions 2023,Group Stage,Winner's (D),Natus Vincere vs DRX,Lotus,Natus Vincere,SUYGETSU,killjoy,5,1,,,1,,,,,81,2,1
Valorant Champions 2023,Group Stage,Winner's (D),Natus Vincere vs DRX,Lotus,DRX,stax,fade,5,,,,,,,,,32,0,2
Valorant Champions 2023,Group Stage,Winner's (D),Natus Vincere vs DRX,Lotus,DRX,Rb,killjoy,3,2,,,2,1,,,,57,1,2
Valorant Champions 2023,Group Stage,Winner's (D),Natus Vincere vs DRX,Lotus,DRX,Zest,viper,2,,1,,,,,,,33,0,0
Valorant Champions 2023,Group Stage,Winner's (D),Natus Vincere vs DRX,Lotus,DRX,BuZz,raze,6,1,1,,,,,,,54,0,0
Valorant Champions 2023,Group Stage,Winner's (D),Natus Vincere vs DRX,Lotus,DRX,MaKo,omen,2,1,,,,,,,,36,9,0
Valorant Champions 2023,Group Stage,Opening (C),NRG Esports vs Bilibili Gaming,All Maps,NRG Esports,crashies,skye,5,5,,,2,,1,,,51,1,2
Valorant Champions 2023,Group Stage,Opening (C),NRG Esports vs Bilibili Gaming,All Maps,NRG Esports,ardiis,killjoy,5,3,,,,,,,,59,1,0
Valorant Champions 2023,Group Stage,Opening (C),NRG Esports vs Bilibili Gaming,All Maps,NRG Esports,Victor,raze,6,3,,,,,1,,,44,1,3
Valorant Champions 2023,Group Stage,Opening (C),NRG Esports vs Bilibili Gaming,All Maps,NRG Esports,FiNESSE,viper,3,,1,,,,,,,42,0,0
Valorant Champions 2023,Group Stage,Opening (C),NRG Esports vs Bilibili Gaming,All Maps,NRG Esports,s0m,omen,5,1,1,1,1,,,,,55,11,1
Valorant Champions 2023,Group Stage,Opening (C),NRG Esports vs Bilibili Gaming,All Maps,Bilibili Gaming,Biank,fade,8,2,1,,1,,1,,,56,10,1
Valorant Champions 2023,Group Stage,Opening (C),NRG Esports vs Bilibili Gaming,All Maps,Bilibili Gaming,rin,killjoy,7,,,,,,,,,42,3,0
Valorant Champions 2023,Group Stage,Opening (C),NRG Esports vs Bilibili Gaming,All Maps,Bilibili Gaming,Knight,omen,7,,,1,,,,,,46,3,0
Valorant Champions 2023,Group Stage,Opening (C),NRG Esports vs Bilibili Gaming,All Maps,Bilibili Gaming,whzy,raze,5,6,2,,,,,,,64,2,2
Valorant Champions 2023,Group Stage,Opening (C),NRG Esports vs Bilibili Gaming,All Maps,Bilibili Gaming,Yosemite,viper,4,3,,,,1,,,,42,0,1
Valorant Champions 2023,Group Stage,Opening (C),NRG Esports vs Bilibili Gaming,Lotus,NRG Esports,crashies,skye,3,2,,,,,,,,40,0,1
Valorant Champions 2023,Group Stage,Opening (C),NRG Esports vs Bilibili Gaming,Lotus,NRG Esports,ardiis,killjoy,2,2,,,,,,,,67,0,0
Valorant Champions 2023,Group Stage,Opening (C),NRG Esports vs Bilibili Gaming,Lotus,NRG Esports,Victor,raze,4,2,,,,,1,,,49,1,3
Valorant Champions 2023,Group Stage,Opening (C),NRG Esports vs Bilibili Gaming,Lotus,NRG Esports,FiNESSE,viper,3,,,,,,,,,40,0,0
