Tournament,Stage,Match Type,Match Name,Map,Team,Type,Initiated,Won
Champions Tour 2023: EMEA League,Regular Season,Week 1,Team Liquid vs FUT Esports,All Maps,FUT Esports,Pistol Won,,3
Champions Tour 2023: EMEA League,Regular Season,Week 1,Team Liquid vs FUT Esports,All Maps,FUT Esports,Eco (won),8,3
Champions Tour 2023: EMEA League,Regular Season,Week 1,Team Liquid vs FUT Esports,All Maps,FUT Esports,$ (won),8,1
Champions Tour 2023: EMEA League,Regular Season,Week 1,Team Liquid vs FUT Esports,All Maps,FUT Esports,$$ (won),14,4
Champions Tour 2023: EMEA League,Regular Season,Week 1,Team Liquid vs FUT Esports,All Maps,FUT Esports,$$$ (won),31,17
Champions Tour 2023: EMEA League,Regular Season,Week 1,KOI vs Team Vitality,Split,KOI,Pistol Won,,0
Champions Tour 2023: EMEA League,Regular Season,Week 1,KOI vs Team Vitality,Split,KOI,Eco (won),3,0
Champions Tour 2023: EMEA League,Regular Season,Week 1,KOI vs Team Vitality,Split,KOI,$ (won),1,0
Champions Tour 2023: EMEA League,Regular Season,Week 1,KOI vs Team Vitality,Split,KOI,$$ (won),4,1
Champions Tour 2023: EMEA League,Regular Season,Week 1,KOI vs Team Vitality,Split,KOI,$$$ (won),14,8
Champions Tour 2023: EMEA League,Regular Season,Week 1,KOI vs Team Vitality,Split,Team Vitality,Pistol Won,,2
Champions Tour 2023: EMEA League,Regular Season,Week 1,KOI vs Team Vitality,Split,Team Vitality,Eco (won),2,2
Champions Tour 2023: EMEA League,Regular Season,Week 1,KOI vs Team Vitality,Split,Team Vitality,$ (won),1,0
Champions Tour 2023: EMEA League,Regular Season,Week 1,KOI vs Team Vitality,Split,Team Vitality,$$ (won),10,5
Champions Tour 2023: EMEA League,Regular Season,Week 1,KOI vs Team Vitality,Split,Team Vitality,$$$ (won),9,6
Champions Tour 2023: EMEA League,Regular Season,Week 1,KOI vs Team Vitality,Fracture,KOI,Pistol Won,,1
Champions Tour 2023: EMEA League,Regular Season,Week 1,KOI vs Team Vitality,Fracture,KOI,Eco (won),3,2
Champions Tour 2023: EMEA League,Regular Season,Week 1,KOI vs Team Vitality,Fracture,KOI,$ (won),1,0
Champions Tour 2023: EMEA League,Regular Season,Week 1,KOI vs Team Vitality,Fracture,KOI,$$ (won),5,3
Champions Tour 2023: EMEA League,Regular Season,Week 1,KOI vs Team Vitality,Fracture,KOI,$$$ (won),19,8
Champions Tour 2023: EMEA League,Regular Season,Week 1,KOI vs Team Vitality,Fracture,Team Vitality,Pistol Won,,1
Champions Tour 2023: EMEA League,Regular Season,Week 1,KOI vs Team Vitality,Fracture,Team Vitality,Eco (won),2,1
Champions Tour 2023: EMEA League,Regular Season,Week 1,KOI vs Team Vitality,Fracture,Team Vitality,$ (won),4,0
Champions Tour 2023: EMEA League,Regular Season,Week 1,KOI vs Team Vitality,Fracture,Team Vitality,$$ (won),10,7
Champions Tour 2023: EMEA League,Regular Season,Week 1,KOI vs Team Vitality,Fracture,Team Vitality,$$$ (won),12,7
Champions Tour 2023: EMEA League,Regular Season,Week 1,KOI vs Team Vitality,All Maps,KOI,Pistol Won,,1
Champions Tour 2023: EMEA League,Regular Season,Week 1,KOI vs Team Vitality,All Maps,KOI,Eco (won),6,2
Champions Tour 2023: EMEA League,Regular Season,Week 1,KOI vs Team Vitality,All Maps,KOI,$ (won),2,0
Champions Tour 2023: EMEA League,Regular Season,Week 1,KOI vs Team Vitality,All Maps,KOI,$$ (won),9,4
Champions Tour 2023: EMEA League,Regular Season,Week 1,KOI vs Team Vitality,All Maps,KOI,$$$ (won),33,16
Champions Tour 2023: EMEA League,Regular Season,Week 1,KOI vs Team Vitality,All Maps,Team Vitality,Pistol Won,,3
Champions Tour 2023: EMEA League,Regular Season,Week 1,KOI vs Team Vitality,All Maps,Team Vitality,Eco (won),4,3
Champions Tour 2023: EMEA League,Regular Season,Week 1,KOI vs Team Vitality,All Maps,Team Vitality,$ (won),5,0
Champions Tour 2023: EMEA League,Regular Season,Week 1,KOI vs Team Vitality,All Maps,Team Vitality,$$ (won),20,12
Champions Tour 2023: EMEA League,Regular Season,Week 1,KOI vs Team Vitality,All Maps,Team Vitality,$$$ (won),21,13
Champions Tour 2023: EMEA League,Regular Season,Week 1,FNATIC vs BBL Esports,Ascent,FNATIC,Pistol Won,,1
Champions Tour 2023: EMEA League,Regular Season,Week 1,FNATIC vs BBL Esports,Ascent,FNATIC,Eco (won),2,1
Champions Tour 2023: EMEA League,Regular Season,Week 1,FNATIC vs BBL Esports,Ascent,FNATIC,$ (won),1,0
Champions Tour 2023: EMEA League,Regular Season,Week 1,FNATIC vs BBL Esports,Ascent,FNATIC,$$ (won),11,4
Champions Tour 2023: EMEA League,Regular Season,Week 1,FNATIC vs BBL Esports,Ascent,FNATIC,$$$ (won),5,1
Champions Tour 2023: EMEA League,Regular Season,Week 1,FNATIC vs BBL Esports,Ascent,BBL Esports,Pistol Won,,1
Champions Tour 2023: EMEA League,Regular Season,Week 1,FNATIC vs BBL Esports,Ascent,BBL Esports,Eco (won),3,1
Champions Tour 2023: EMEA League,Regular Season,Week 1,FNATIC vs BBL Esports,Ascent,BBL Esports,$ (won),1,0
Champions Tour 2023: EMEA League,Regular Season,Week 1,FNATIC vs BBL Esports,Ascent,BBL Esports,$$ (won),2,1
Champions Tour 2023: EMEA League,Regular Season,Week 1,FNATIC vs BBL Esports,Ascent,BBL Esports,$$$ (won),13,11
Champions Tour 2023: EMEA League,Regular Season,Week 1,FNATIC vs BBL Esports,Haven,FNATIC,Pistol Won,,1
Champions Tour 2023: EMEA League,Regular Season,Week 1,FNATIC vs BBL Esports,Haven,FNATIC,Eco (won),3,1
Champions Tour 2023: EMEA League,Regular Season,Week 1,FNATIC vs BBL Esports,Haven,FNATIC,$ (won),0,0
Champions Tour 2023: EMEA League,Regular Season,Week 1,FNATIC vs BBL Esports,Haven,FNATIC,$$ (won),9,7
Champions Tour 2023: EMEA League,Regular Season,Week 1,FNATIC vs BBL Esports,Haven,FNATIC,$$$ (won),10,5
Champions Tour 2023: EMEA League,Regular Season,Week 1,FNATIC vs BBL Esports,Haven,BBL Esports,Pistol Won,,1
Champions Tour 2023: EMEA League,Regular Season,Week 1,FNATIC vs BBL Esports,Haven,BBL Esports,Eco (won),3,1
Champions Tour 2023: EMEA League,Regular Season,Week 1,FNATIC vs BBL Esports,Haven,BBL Esports,$ (won),3,2
Champions Tour 2023: EMEA League,Regular Season,Week 1,FNATIC vs BBL Esports,Haven,BBL Esports,$$ (won),4,2
Champions Tour 2023: EMEA League,Regular Season,Week 1,FNATIC vs BBL Esports,Haven,BBL Esports,$$$ (won),12,4
Champions Tour 2023: EMEA League,Regular Season,Week 1,FNATIC vs BBL Esports,Split,FNATIC,Pistol Won,,2
Champions Tour 2023: EMEA League,Regular Season,Week 1,FNATIC vs BBL Esports,Split,FNATIC,Eco (won),2,2
Champions Tour 2023: EMEA League,Regular Season,Week 1,FNATIC vs BBL Esports,Split,FNATIC,$ (won),0,0
Champions Tour 2023: EMEA League,Regular Season,Week 1,FNATIC vs BBL Esports,Split,FNATIC,$$ (won),12,6
Champions Tour 2023: EMEA League,Regular Season,Week 1,FNATIC vs BBL Esports,Split,FNATIC,$$$ (won),10,5
Champions Tour 2023: EMEA League,Regular Season,Week 1,FNATIC vs BBL Esports,Split,BBL Esports,Pistol Won,,0
Champions Tour 2023: EMEA League,Regular Season,Week 1,FNATIC vs BBL Esports,Split,BBL Esports,Eco (won),5,1
Champions Tour 2023: EMEA League,Regular Season,Week 1,FNATIC vs BBL Esports,Split,BBL Esports,$ (won),1,1
Champions Tour 2023: EMEA League,Regular Season,Week 1,FNATIC vs BBL Esports,Split,BBL Esports,$$ (won),3,0
Champions Tour 2023: EMEA League,Regular Season,Week 1,FNATIC vs BBL Esports,Split,BBL Esports,$$$ (won),15,9
Champions Tour 2023: EMEA League,Regular Season,Week 1,FNATIC vs BBL Esports,All Maps,FNATIC,Pistol Won,,4
Champions Tour 2023: EMEA League,Regular Season,Week 1,FNATIC vs BBL Esports,All Maps,FNATIC,Eco (won),7,4
Champions Tour 2023: EMEA League,Regular Season,Week 1,FNATIC vs BBL Esports,All Maps,FNATIC,$ (won),1,0
Champions Tour 2023: EMEA League,Regular Season,Week 1,FNATIC vs BBL Esports,All Maps,FNATIC,$$ (won),32,17
Champions Tour 2023: EMEA League,Regular Season,Week 1,FNATIC vs BBL Esports,All Maps,FNATIC,$$$ (won),25,11
Champions Tour 2023: EMEA League,Regular Season,Week 1,FNATIC vs BBL Esports,All Maps,BBL Esports,Pistol Won,,2
Champions Tour 2023: EMEA League,Regular Season,Week 1,FNATIC vs BBL Esports,All Maps,BBL Esports,Eco (won),11,3
Champions Tour 2023: EMEA League,Regular Season,Week 1,FNATIC vs BBL Esports,All Maps,BBL Esports,$ (won),5,3
Champions Tour 2023: EMEA League,Regular Season,Week 1,FNATIC vs BBL Esports,All Maps,BBL Esports,$$ (won),9,3
Champions Tour 2023: EMEA League,Regular Season,Week 1,FNATIC vs BBL Esports,All Maps,BBL Esports,$$$ (won),40,24
Champions Tour 2023: EMEA League,Regular Season,Week 1,Team Heretics vs Karmine Corp,Icebox,Team Heretics,Pistol Won,,1
Champions Tour 2023: EMEA League,Regular Season,Week 1,Team Heretics vs Karmine Corp,Icebox,Team Heretics,Eco (won),3,1
Champions Tour 2023: EMEA League,Regular Season,Week 1,Team Heretics vs Karmine Corp,Icebox,Team Heretics,$ (won),0,0
Champions Tour 2023: EMEA League,Regular Season,Week 1,Team Heretics vs Karmine Corp,Icebox,Team Heretics,$$ (won),2,1
Champions Tour 2023: EMEA League,Regular Season,Week 1,Team Heretics vs Karmine Corp,Icebox,Team Heretics,$$$ (won),13,11
Champions Tour 2023: EMEA League,Regular Season,Week 1,Team Heretics vs Karmine Corp,Icebox,Karmine Corp,Pistol Won,,1
Champions Tour 2023: EMEA League,Regular Season,Week 1,Team Heretics vs Karmine Corp,Icebox,Karmine Corp,Eco (won),3,1
Champions Tour 2023: EMEA League,Regular Season,Week 1,Team Heretics vs Karmine Corp,Icebox,Karmine Corp,$ (won),2,0
Champions Tour 2023: EMEA League,Regular Season,Week 1,Team Heretics vs Karmine Corp,Icebox,Karmine Corp,$$ (won),7,3
Champions Tour 2023: EMEA League,Regular Season,Week 1,Team Heretics vs Karmine Corp,Icebox,Karmine Corp,$$$ (won),6,1
Champions Tour 2023: EMEA League,Regular Season,Week 1,Team Heretics vs Karmine Corp,Split,Team Heretics,Pistol Won,,2
Champions Tour 2023: EMEA League,Regular Season,Week 1,Team Heretics vs Karmine Corp,Split,Team Heretics,Eco (won),2,2
Champions Tour 2023: EMEA League,Regular Season,Week 1,Team Heretics vs Karmine Corp,Split,Team Heretics,$ (won),0,0
Champions Tour 2023: EMEA League,Regular Season,Week 1,Team Heretics vs Karmine Corp,Split,Team Heretics,$$ (won),4,3
Champions Tour 2023: EMEA League,Regular Season,Week 1,Team Heretics vs Karmine Corp,Split,Team Heretics,$$$ (won),9,8
Champions Tour 2023: EMEA League,Regular Season,Week 1,Team Heretics vs Karmine Corp,Split,Karmine Corp,Pistol Won,,0
Champions Tour 2023: EMEA League,Regular Season,Week 1,Team Heretics vs Karmine Corp,Split,Karmine Corp,Eco (won),3,0
Champions Tour 2023: EMEA League,Regular Season,Week 1,Team Heretics vs Karmine Corp,Split,Karmine Corp,$ (won),1,0
Champions Tour 2023: EMEA League,Regular Season,Week 1,Team Heretics vs Karmine Corp,Split,Karmine Corp,$$ (won),7,2
Champions Tour 2023: EMEA League,Regular Season,Week 1,Team Heretics vs Karmine Corp,Split,Karmine Corp,$$$ (won),4,0
Champions Tour 2023: EMEA League,Regular Season,Week 1,Team Heretics vs Karmine Corp,All Maps,Team Heretics,Pistol Won,,3
Champions Tour 2023: EMEA League,Regular Season,Week 1,Team Heretics vs Karmine Corp,All Maps,Team Heretics,Eco (won),5,3
Champions Tour 2023: EMEA League,Regular Season,Week 1,Team Heretics vs Karmine Corp,All Maps,Team Heretics,$ (won),0,0
Champions Tour 2023: EMEA League,Regular Season,Week 1,Team Heretics vs Karmine Corp,All Maps,Team Heretics,$$ (won),6,4
Champions Tour 2023: EMEA League,Regular Season,Week 1,Team Heretics vs Karmine Corp,All Maps,Team Heretics,$$$ (won),22,19
Champions Tour 2023: EMEA League,Regular Season,Week 1,Team Heretics vs Karmine Corp,All Maps,Karmine Corp,Pistol Won,,1
Champions Tour 2023: EMEA League,Regular Season,Week 1,Team Heretics vs Karmine Corp,All Maps,Karmine Corp,Eco (won),6,1
Champions Tour 2023: EMEA League,Regular Season,Week 1,Team Heretics vs Karmine Corp,All Maps,Karmine Corp,$ (won),3,0
Champions Tour 2023: EMEA League,Regular Season,Week 1,Team Heretics vs Karmine Corp,All Maps,Karmine Corp,$$ (won),14,5
Champions Tour 2023: EMEA League,Regular Season,Week 1,Team Heretics vs Karmine Corp,All Maps,Karmine Corp,$$$ (won),10,1
Champions Tour 2023: EMEA League,Regular Season,Week 2,Team Vitality vs FUT Esports,Lotus,Team Vitality,Pistol Won,,0
Champions Tour 2023: EMEA League,Regular Season,Week 2,Team Vitality vs FUT Esports,Lotus,Team Vitality,Eco (won),2,0
Champions Tour 2023: EMEA League,Regular Season,Week 2,Team Vitality vs FUT Esports,Lotus,Team Vitality,$ (won),3,0
Champions Tour 2023: EMEA League,Regular Season,Week 2,Team Vitality vs FUT Esports,Lotus,Team Vitality,$$ (won),9,3
Champions Tour 2023: EMEA League,Regular Season,Week 2,Team Vitality vs FUT Esports,Lotus,Team Vitality,$$$ (won),3,1
Champions Tour 2023: EMEA League,Regular Season,Week 2,Team Vitality vs FUT Esports,Lotus,FUT Esports,Pistol Won,,2
Champions Tour 2023: EMEA League,Regular Season,Week 2,Team Vitality vs FUT Esports,Lotus,FUT Esports,Eco (won),2,2
Champions Tour 2023: EMEA League,Regular Season,Week 2,Team Vitality vs FUT Esports,Lotus,FUT Esports,$ (won),0,0
Champions Tour 2023: EMEA League,Regular Season,Week 2,Team Vitality vs FUT Esports,Lotus,FUT Esports,$$ (won),6,5
Champions Tour 2023: EMEA League,Regular Season,Week 2,Team Vitality vs FUT Esports,Lotus,FUT Esports,$$$ (won),9,6
Champions Tour 2023: EMEA League,Regular Season,Week 2,Team Vitality vs FUT Esports,Haven,Team Vitality,Pistol Won,,1
Champions Tour 2023: EMEA League,Regular Season,Week 2,Team Vitality vs FUT Esports,Haven,Team Vitality,Eco (won),3,1
Champions Tour 2023: EMEA League,Regular Season,Week 2,Team Vitality vs FUT Esports,Haven,Team Vitality,$ (won),0,0
Champions Tour 2023: EMEA League,Regular Season,Week 2,Team Vitality vs FUT Esports,Haven,Team Vitality,$$ (won),7,4
Champions Tour 2023: EMEA League,Regular Season,Week 2,Team Vitality vs FUT Esports,Haven,Team Vitality,$$$ (won),13,5
Champions Tour 2023: EMEA League,Regular Season,Week 2,Team Vitality vs FUT Esports,Haven,FUT Esports,Pistol Won,,1
Champions Tour 2023: EMEA League,Regular Season,Week 2,Team Vitality vs FUT Esports,Haven,FUT Esports,Eco (won),3,1
Champions Tour 2023: EMEA League,Regular Season,Week 2,Team Vitality vs FUT Esports,Haven,FUT Esports,$ (won),2,0
Champions Tour 2023: EMEA League,Regular Season,Week 2,Team Vitality vs FUT Esports,Haven,FUT Esports,$$ (won),5,2
Champions Tour 2023: EMEA League,Regular Season,Week 2,Team Vitality vs FUT Esports,Haven,FUT Esports,$$$ (won),13,10
Champions Tour 2023: EMEA League,Regular Season,Week 2,Team Vitality vs FUT Esports,All Maps,Team Vitality,Pistol Won,,1
Champions Tour 2023: EMEA League,Regular Season,Week 2,Team Vitality vs FUT Esports,All Maps,Team Vitality,Eco (won),5,1
Champions Tour 2023: EMEA League,Regular Season,Week 2,Team Vitality vs FUT Esports,All Maps,Team Vitality,$ (won),3,0
Champions Tour 2023: EMEA League,Regular Season,Week 2,Team Vitality vs FUT Esports,All Maps,Team Vitality,$$ (won),16,7
Champions Tour 2023: EMEA League,Regular Season,Week 2,Team Vitality vs FUT Esports,All Maps,Team Vitality,$$$ (won),16,6
Champions Tour 2023: EMEA League,Regular Season,Week 2,Team Vitality vs FUT Esports,All Maps,FUT Esports,Pistol Won,,3
Champions Tour 2023: EMEA League,Regular Season,Week 2,Team Vitality vs FUT Esports,All Maps,FUT Esports,Eco (won),5,3
Champions Tour 2023: EMEA League,Regular Season,Week 2,Team Vitality vs FUT Esports,All Maps,FUT Esports,$ (won),2,0
Champions Tour 2023: EMEA League,Regular Season,Week 2,Team Vitality vs FUT Esports,All Maps,FUT Esports,$$ (won),11,7
Champions Tour 2023: EMEA League,Regular Season,Week 2,Team Vitality vs FUT Esports,All Maps,FUT Esports,$$$ (won),22,16
Champions Tour 2023: EMEA League,Regular Season,Week 2,Natus Vincere vs BBL Esports,Ascent,Natus Vincere,Pistol Won,,1
Champions Tour 2023: EMEA League,Regular Season,Week 2,Natus Vincere vs BBL Esports,Ascent,Natus Vincere,Eco (won),3,1
Champions Tour 2023: EMEA League,Regular Season,Week 2,Natus Vincere vs BBL Esports,Ascent,Natus Vincere,$ (won),0,0
Champions Tour 2023: EMEA League,Regular Season,Week 2,Natus Vincere vs BBL Esports,Ascent,Natus Vincere,$$ (won),6,3
Champions Tour 2023: EMEA League,Regular Season,Week 2,Natus Vincere vs BBL Esports,Ascent,Natus Vincere,$$$ (won),14,9
Champions Tour 2023: EMEA League,Regular Season,Week 2,Natus Vincere vs BBL Esports,Ascent,BBL Esports,Pistol Won,,1
Champions Tour 2023: EMEA League,Regular Season,Week 2,Natus Vincere vs BBL Esports,Ascent,BBL Esports,Eco (won),3,1
Champions Tour 2023: EMEA League,Regular Season,Week 2,Natus Vincere vs BBL Esports,Ascent,BBL Esports,$ (won),0,0
Champions Tour 2023: EMEA League,Regular Season,Week 2,Natus Vincere vs BBL Esports,Ascent,BBL Esports,$$ (won),13,7
Champions Tour 2023: EMEA League,Regular Season,Week 2,Natus Vincere vs BBL Esports,Ascent,BBL Esports,$$$ (won),7,2
Champions Tour 2023: EMEA League,Regular Season,Week 2,Natus Vincere vs BBL Esports,Fracture,Natus Vincere,Pistol Won,,2
Champions Tour 2023: EMEA League,Regular Season,Week 2,Natus Vincere vs BBL Esports,Fracture,Natus Vincere,Eco (won),2,2
Champions Tour 2023: EMEA League,Regular Season,Week 2,Natus Vincere vs BBL Esports,Fracture,Natus Vincere,$ (won),0,0
Champions Tour 2023: EMEA League,Regular Season,Week 2,Natus Vincere vs BBL Esports,Fracture,Natus Vincere,$$ (won),9,6
Champions Tour 2023: EMEA League,Regular Season,Week 2,Natus Vincere vs BBL Esports,Fracture,Natus Vincere,$$$ (won),10,5
Champions Tour 2023: EMEA League,Regular Season,Week 2,Natus Vincere vs BBL Esports,Fracture,BBL Esports,Pistol Won,,0
Champions Tour 2023: EMEA League,Regular Season,Week 2,Natus Vincere vs BBL Esports,Fracture,BBL Esports,Eco (won),3,1
Champions Tour 2023: EMEA League,Regular Season,Week 2,Natus Vincere vs BBL Esports,Fracture,BBL Esports,$ (won),2,0
Champions Tour 2023: EMEA League,Regular Season,Week 2,Natus Vincere vs BBL Esports,Fracture,BBL Esports,$$ (won),10,5
Champions Tour 2023: EMEA League,Regular Season,Week 2,Natus Vincere vs BBL Esports,Fracture,BBL Esports,$$$ (won),6,2
Champions Tour 2023: EMEA League,Regular Season,Week 2,Natus Vincere vs BBL Esports,All Maps,Natus Vincere,Pistol Won,,3
Champions Tour 2023: EMEA League,Regular Season,Week 2,Natus Vincere vs BBL Esports,All Maps,Natus Vincere,Eco (won),5,3
Champions Tour 2023: EMEA League,Regular Season,Week 2,Natus Vincere vs BBL Esports,All Maps,Natus Vincere,$ (won),0,0
Champions Tour 2023: EMEA League,Regular Season,Week 2,Natus Vincere vs BBL Esports,All Maps,Natus Vincere,$$ (won),15,9
Champions Tour 2023: EMEA League,Regular Season,Week 2,Natus Vincere vs BBL Esports,All Maps,Natus Vincere,$$$ (won),24,14
Champions Tour 2023: EMEA League,Regular Season,Week 2,Natus Vincere vs BBL Esports,All Maps,BBL Esports,Pistol Won,,1
Champions Tour 2023: EMEA League,Regular Season,Week 2,Natus Vincere vs BBL Esports,All Maps,BBL Esports,Eco (won),6,2
Champions Tour 2023: EMEA League,Regular Season,Week 2,Natus Vincere vs BBL Esports,All Maps,BBL Esports,$ (won),2,0
Champions Tour 2023: EMEA League,Regular Season,Week 2,Natus Vincere vs BBL Esports,All Maps,BBL Esports,$$ (won),23,12
Champions Tour 2023: EMEA League,Regular Season,Week 2,Natus Vincere vs BBL Esports,All Maps,BBL Esports,$$$ (won),13,4
Champions Tour 2023: EMEA League,Regular Season,Week 2,FNATIC vs Team Heretics,Icebox,FNATIC,Pistol Won,,2
Champions Tour 2023: EMEA League,Regular Season,Week 2,FNATIC vs Team Heretics,Icebox,FNATIC,Eco (won),2,2
Champions Tour 2023: EMEA League,Regular Season,Week 2,FNATIC vs Team Heretics,Icebox,FNATIC,$ (won),0,0
Champions Tour 2023: EMEA League,Regular Season,Week 2,FNATIC vs Team Heretics,Icebox,FNATIC,$$ (won),6,4
Champions Tour 2023: EMEA League,Regular Season,Week 2,FNATIC vs Team Heretics,Icebox,FNATIC,$$$ (won),8,7
Champions Tour 2023: EMEA League,Regular Season,Week 2,FNATIC vs Team Heretics,Icebox,Team Heretics,Pistol Won,,0
Champions Tour 2023: EMEA League,Regular Season,Week 2,FNATIC vs Team Heretics,Icebox,Team Heretics,Eco (won),4,0
Champions Tour 2023: EMEA League,Regular Season,Week 2,FNATIC vs Team Heretics,Icebox,Team Heretics,$ (won),0,0
Champions Tour 2023: EMEA League,Regular Season,Week 2,FNATIC vs Team Heretics,Icebox,Team Heretics,$$ (won),6,1
Champions Tour 2023: EMEA League,Regular Season,Week 2,FNATIC vs Team Heretics,Icebox,Team Heretics,$$$ (won),6,2
Champions Tour 2023: EMEA League,Regular Season,Week 2,FNATIC vs Team Heretics,Ascent,FNATIC,Pistol Won,,1
Champions Tour 2023: EMEA League,Regular Season,Week 2,FNATIC vs Team Heretics,Ascent,FNATIC,Eco (won),3,2
Champions Tour 2023: EMEA League,Regular Season,Week 2,FNATIC vs Team Heretics,Ascent,FNATIC,$ (won),0,0
Champions Tour 2023: EMEA League,Regular Season,Week 2,FNATIC vs Team Heretics,Ascent,FNATIC,$$ (won),2,1
Champions Tour 2023: EMEA League,Regular Season,Week 2,FNATIC vs Team Heretics,Ascent,FNATIC,$$$ (won),14,10
Champions Tour 2023: EMEA League,Regular Season,Week 2,FNATIC vs Team Heretics,Ascent,Team Heretics,Pistol Won,,1
Champions Tour 2023: EMEA League,Regular Season,Week 2,FNATIC vs Team Heretics,Ascent,Team Heretics,Eco (won),4,1
Champions Tour 2023: EMEA League,Regular Season,Week 2,FNATIC vs Team Heretics,Ascent,Team Heretics,$ (won),2,0
Champions Tour 2023: EMEA League,Regular Season,Week 2,FNATIC vs Team Heretics,Ascent,Team Heretics,$$ (won),4,2
Champions Tour 2023: EMEA League,Regular Season,Week 2,FNATIC vs Team Heretics,Ascent,Team Heretics,$$$ (won),9,3
Champions Tour 2023: EMEA League,Regular Season,Week 2,FNATIC vs Team Heretics,All Maps,FNATIC,Pistol Won,,3
Champions Tour 2023: EMEA League,Regular Season,Week 2,FNATIC vs Team Heretics,All Maps,FNATIC,Eco (won),5,4
Champions Tour 2023: EMEA League,Regular Season,Week 2,FNATIC vs Team Heretics,All Maps,FNATIC,$ (won),0,0
Champions Tour 2023: EMEA League,Regular Season,Week 2,FNATIC vs Team Heretics,All Maps,FNATIC,$$ (won),8,5
Champions Tour 2023: EMEA League,Regular Season,Week 2,FNATIC vs Team Heretics,All Maps,FNATIC,$$$ (won),22,17
Champions Tour 2023: EMEA League,Regular Season,Week 2,FNATIC vs Team Heretics,All Maps,Team Heretics,Pistol Won,,1
Champions Tour 2023: EMEA League,Regular Season,Week 2,FNATIC vs Team Heretics,All Maps,Team Heretics,Eco (won),8,1
Champions Tour 2023: EMEA League,Regular Season,Week 2,FNATIC vs Team Heretics,All Maps,Team Heretics,$ (won),2,0
Champions Tour 2023: EMEA League,Regular Season,Week 2,FNATIC vs Team Heretics,All Maps,Team Heretics,$$ (won),10,3
Champions Tour 2023: EMEA League,Regular Season,Week 2,FNATIC vs Team Heretics,All Maps,Team Heretics,$$$ (won),15,5
Champions Tour 2023: EMEA League,Regular Season,Week 2,Team Liquid vs Karmine Corp,Ascent,Team Liquid,Pistol Won,,1
Champions Tour 2023: EMEA League,Regular Season,Week 2,Team Liquid vs Karmine Corp,Ascent,Team Liquid,Eco (won),3,1
Champions Tour 2023: EMEA League,Regular Season,Week 2,Team Liquid vs Karmine Corp,Ascent,Team Liquid,$ (won),0,0
Champions Tour 2023: EMEA League,Regular Season,Week 2,Team Liquid vs Karmine Corp,Ascent,Team Liquid,$$ (won),3,2
Champions Tour 2023: EMEA League,Regular Season,Week 2,Team Liquid vs Karmine Corp,Ascent,Team Liquid,$$$ (won),12,10
Champions Tour 2023: EMEA League,Regular Season,Week 2,Team Liquid vs Karmine Corp,Ascent,Karmine Corp,Pistol Won,,1
Champions Tour 2023: EMEA League,Regular Season,Week 2,Team Liquid vs Karmine Corp,Ascent,Karmine Corp,Eco (won),4,1
Champions Tour 2023: EMEA League,Regular Season,Week 2,Team Liquid vs Karmine Corp,Ascent,Karmine Corp,$ (won),1,1
Champions Tour 2023: EMEA League,Regular Season,Week 2,Team Liquid vs Karmine Corp,Ascent,Karmine Corp,$$ (won),5,1
Champions Tour 2023: EMEA League,Regular Season,Week 2,Team Liquid vs Karmine Corp,Ascent,Karmine Corp,$$$ (won),8,2
Champions Tour 2023: EMEA League,Regular Season,Week 2,Team Liquid vs Karmine Corp,Split,Team Liquid,Pistol Won,,1
Champions Tour 2023: EMEA League,Regular Season,Week 2,Team Liquid vs Karmine Corp,Split,Team Liquid,Eco (won),3,1
Champions Tour 2023: EMEA League,Regular Season,Week 2,Team Liquid vs Karmine Corp,Split,Team Liquid,$ (won),0,0
Champions Tour 2023: EMEA League,Regular Season,Week 2,Team Liquid vs Karmine Corp,Split,Team Liquid,$$ (won),2,2
Champions Tour 2023: EMEA League,Regular Season,Week 2,Team Liquid vs Karmine Corp,Split,Team Liquid,$$$ (won),10,10
Champions Tour 2023: EMEA League,Regular Season,Week 2,Team Liquid vs Karmine Corp,Split,Karmine Corp,Pistol Won,,1
Champions Tour 2023: EMEA League,Regular Season,Week 2,Team Liquid vs Karmine Corp,Split,Karmine Corp,Eco (won),3,1
Champions Tour 2023: EMEA League,Regular Season,Week 2,Team Liquid vs Karmine Corp,Split,Karmine Corp,$ (won),3,0
Champions Tour 2023: EMEA League,Regular Season,Week 2,Team Liquid vs Karmine Corp,Split,Karmine Corp,$$ (won),5,1
Champions Tour 2023: EMEA League,Regular Season,Week 2,Team Liquid vs Karmine Corp,Split,Karmine Corp,$$$ (won),4,0
Champions Tour 2023: EMEA League,Regular Season,Week 2,Team Liquid vs Karmine Corp,All Maps,Team Liquid,Pistol Won,,2
Champions Tour 2023: EMEA League,Regular Season,Week 2,Team Liquid vs Karmine Corp,All Maps,Team Liquid,Eco (won),6,2
Champions Tour 2023: EMEA League,Regular Season,Week 2,Team Liquid vs Karmine Corp,All Maps,Team Liquid,$ (won),0,0
Champions Tour 2023: EMEA League,Regular Season,Week 2,Team Liquid vs Karmine Corp,All Maps,Team Liquid,$$ (won),5,4
Champions Tour 2023: EMEA League,Regular Season,Week 2,Team Liquid vs Karmine Corp,All Maps,Team Liquid,$$$ (won),22,20
Champions Tour 2023: EMEA League,Regular Season,Week 2,Team Liquid vs Karmine Corp,All Maps,Karmine Corp,Pistol Won,,2
